khach_cmt,rating,shop_phan_hoi,shop,dvvc,sản phẩm
"đã mua lần thứ 2 vì quần rất là ok chất dày dặn hàng VN không như hàng TQ nên mặc ôm, thoải mái, co dãn tốt không mỏng manh như quần TQ. trừ 1 sao vì bên ship giao hàng vớ vẩn nên cho 4 sao thôi nhé ",4,"chào bạn, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc bạn một ngày tốt lành! ",0,0,2
"sản phẩm chất lượng tốt, mẫu 4 màu nhưng nhận hàng chỉ có 2 màu .",4,"chào h*4, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc h*4 một ngày tốt lành! ",0,0,1
che tên nhưng không note giao sáng cho mình. ship nói nhiều còn giao đầu giờ chiều,4,"chào junghyerim9x, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc junghyerim9x một ngày tốt lành! ",1,1,0
giao hàng rất lâu nha. cái hộp nhìn thảm hơn nhiều với hình nhưng sản phẩm khá ổn.,4,"chào ngocanh270396, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc ngocanh270396 một ngày tốt lành! ",0,1,1
"giao hàng nhanh, sản phẩm mua mua được trong tầm giá.",4,"chào anht198x, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc anht198x một ngày tốt lành! ",0,1,1
"quần khá ok, giao hàng nhanh, đáng mua, mọi người dừng thử xem, mình cho 4 sao vì không có màu trắng",4,"chào lthtn2611, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc lthtn2611 một ngày tốt lành! ",0,1,2
"sản phẩm tốt , thoáng mát , giao hàng nhanh , sẽ quay lại ủng hộ sau",4,"chào pulpig, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc pulpig một ngày tốt lành! ",0,1,1
"tạm được, chất hơi mỏng, nhìn như đồ ren cho nam vậy đó, nói chung dùng tạm",4,,0,0,4
sản phẩm khác với mô tả và hình ảnh. thời gian giao hàng đúng với dự kiến. shop nên đăng hình thật của sản phẩm,4,,1,1,3
"giao hàng nhanh, đóng gói cẩn thận ,chắc chắn , có chút chỉ thừa còn chất lượng theo thời gian",4,,1,1,0
đã lưu ý là che tên mà shop không thèm che luôn dỗi trừ 1 sao cho lần sau đỡ quên,4,,1,0,0
gói hàng cẩn thận. mình đặt dùm thằng em. kêu shop che tên sản phẩm để có lấy hàng đỡ ngại mà shop không che gì cả,4,,1,0,0
"sản phẩm đẹp, chất lượng ok. hộp không đẹp như hình, hình ảnh và video mang tính chất minh hoạ",4,,0,0,1
"sản phẩm đóng hộp khác với video mà shop quay trên shope, hàng nói chung cũng dùng được nhưng có vẻ size hơi bé hơn bình thường!",4,,0,0,1
với giá tiền như này mình nghĩ phải được chiếc quần chất liệu tốt hơn chiếc shop gửi. hộp không giống ảnh của shop. treo đầu dê bán thịt chó quá. mua để tặng mà thấy cái hộp như này thất vọng quá,4,,1,0,2
hàng không như đợt 1 bó ở bẹn khó chịu hộp khác phèn hơn,4,,0,0,4
"quần hơi mỏng, không phải kiểu liền vải mà có họa tiết chấm bi lổ lổ, mặc mát ok",4,,0,0,2
hàng màu sắc không giống trên bài đăng lắm. 4 màu gần giống nhau. chất liệu ổn so với giá. dịch giao hơi lâu,4,,0,1,1
"hàng như hình, chuẩn màu, giao bình thường, đóng gói chắc chắn. tuy nhiên chất không co giãn lắm, chồng mình có vẻ không thích lắm",4,,0,1,3
sản phẩm ok nhé mọi người. chất thoáng mát. vải mềm mịn. đáng để mua nà,4,,0,0,1
"nhờ shop che tên sản phẩm, shop ok ròi mà shop không có che ",4,,1,0,0
"quần này vải mát lắm, đóng gói cẩn thận, trong hộp giấy đàng hoàng",4,,0,0,2
"quần không thấy có mác, nhìn cũng không nuột như video quảng cáo, có mùi hôi. hộp không đẹp như mình đã từng mua.",4,"chào thien.binh1233, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc thien.binh1233 một ngày tốt lành! ",0,0,2
"hàng bị thủng, shop nên che tên sản phẩm vì đồ khá nhạy cảm, thủng hàng chắc do vận chuyện còn lại đóng gói lịch sự hộp các thứ",4,,1,0,4
"mua lúc 10-10 nên hàng về hơi bị lâu. nhận quần về ngâm với nước bột giặt từ tối đến trưa mai thì nước màu nâu khá ghê. đã giặt lại 2 lần, hy vọng ổn.",4,,0,0,4
"chất lượng sản phẩm tốt, giống hình ảnh shop đăng, giá rẻ, tiếc là shop xử lý đơn hàng giao quá lâu gần 10 ngày mới nhận được hàng, đóng gói sản phẩm chưa tốt.",4,,0,1,4
chất lượng quần so với tiền hợp lý đường may vắt sổ chắc chắn chất liệu co giãn tốt,4,,0,0,4
mình mua hộ bạn nên không biết như thế nào nhưng thấy bảo form hơi nhỏ ngắn nhưng giá cả thì phù hợp ,4,,0,0,1
"60kg mặc size này hơi chật, cho shop 4 sao thôi. Anh em mua sau nên chọn size lớn hơn 1 size mặc cho thoải mái",4,,0,0,2
"đã ghi chú là che tên sản phẩm,nhưng để chắc chắn hơn nên có ib riêng với shop yêu cầu che tên và shop đã ok,vì mua cho người yêu nên sợ bố mẹ nhận hộ thấy.kết quả là thế này ,không hề che tên,may mà chạy ra kịp,không là mẹ nhận rồi hỏi mua cho ai rồi,thất vọng về cách làm việc của shop,còn quần thì ok mềm mịn good!",4,,1,0,0
"giá và hàng phù hợp. dù đã lấy size lớn nhất nhưng chồng tớ vẫn không vừa, nói chung là ổn",4,,1,0,0
"chất lượng sản phẩm tuyệt vời, shipper thân thiện, gói hàng ok. nhưng mà mình đã dặn shop che tên sản phẩm chỉ đồng ý mà không che ",4,,1,1,1
"chất lượng sản phẩm tuyệt vời, giao hàng thân thiện, mình có ib với shop để che tên sản phẩm nhưng cả 2 đơn shop không có che ",4,,1,0,3
"chất lượng ổn, ôm boa nhưng size l dài mặc quần toàn hở , 4 sao vì giá ok",4,,0,0,2
"chất vải đẹp, mát, phù hợp giá tiền có thể đầu tư nhé mọi người ",4,,0,0,2
"1m65, 58kg mặc size l vừa nha quý vị chứ size xl bị rộng á. quần giống hình tuy nhiên cả 4 quần may phía sau đều hơi lỗi hơi bị dúm lại cơ bản không ảnh hưởng. cho 4 sao vì sản phẩm khác cùng đơn của shop quá kém",4,,0,0,2
"em ship giao hàng rất đẹp trai, trắng. giao hàng nhanh ưng em giao hàng lắm",4,,0,1,0
"hàng chất lượng trung bình, size nhỏ hơn thực tế nhiều. hi vọng shop cải thiện",4,,0,0,1
"shop gói kỹ, nhưng trừ vì đã nhắn tin riêng nhờ che tên sản phẩm vì ship tới cơ quan mà shop vẫn quên, sản phẩm y mô tả, hơi rộng xí, em trai mình 70kg",4,,1,0,4
"giao hàng nhanh , bọc đẹp đóng gói chắc chất lượng khá ok phù hợp giá tiền",4,,0,1,1
ship hàng hơi lâu. vải không được dầy dặn cho lắm. màu bên ngoài sậm hơn trên hình quảng cáo. nhưng với mức giá đó thì coi như hợp lý,4,,0,1,4
mẫu giống hình tuy nhiên màu không giống đã dặn shop chọn nhiều màu cuối cùng có 3 màu. mong shop lần sau rút kinh nghiệm không có màu thì nên nói trước 8 cái mà toàn màu giống nhau hụ hụ,4,,1,0,4
"dùng thì tạm ổn, tuy nhiên lại không có tem mác gì, tưởng ít nhất cũng có cái tem size của sản phẩm nhưng mà cũng không có nốt. ",4,,0,0,4
"giao hàng nhanh, mẫu mã giống, có chút xíu cần là chưa có size l hoặc m . trên bao bì hoặc quần, chất lượng thì cần mặc mới khẳng định được",4,,0,1,4
"chất liệu oke , nhưng shop gửi 1 hộp có 2 màu giống nhau, không giống như trên hình, cho bạn bớt 1 cái màu xanh, nên trên hình còn 3 cái thôi",4,,0,0,4
"quần co dãn tốt, mịn mát tuy nhiên quần quá nhỏ với size 3xl, không biết có nhầm lẫn gì không ",4,,0,0,2
"đóng gói cẩn thận hàng đẹp so với giá,nhưng hơi buồn vì một quần bị lỗi bị,mong shop lần sau kiểm tra hàng trước khi giao",4,,1,0,0
"vải mát co dãn tốt, hợp giá tiền, chưa mặc nên không biết thế nào. hộp móp méo hết trơn.",4,,0,0,2
"sản phẩm: có 1 quần bị dơ không có tag, có màu mực đỏ shop giao hàng nhanh đóng gói đẹp.",4,,0,1,2
giao hàng lâu. shop không che tên sản phẩm. gói hàng ổn. ,4,,1,1,0
"sản phẩm ra màu nhiều, đóng gói kĩ, hình ảnh chỉ mang tính chất nhận xu",4,,0,0,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm tuyệt vời đóng,4,,0,0,2
"mua size to nhất nhưng chồng mặc vẫn chật, quần cũng co dãn mà không ăn thua, quần này hợp với ai gầy hơn",4,,0,0,2
"đóng gói chắc chắn và đẹp, shop không che tên sản phẩm. size chưa chuẩn. Sản phẩm giao không đủ màu",4,,1,0,4
hàng mỏng mát nhưng không biết nó có bền không. sài thử mới biết nên chỉ review vậy thôi,4,,0,0,4
"giao đúng size, chất thun hơi mỏng, chỗ lưng thun có vẻ không được tốt lắm. được cái giá rẻ nên 4 sao thôi",4,,1,0,0
"đóng gói cẩn thận , giao hàng nhanh.đã nhắn tin cho shop gửi mỗi cái 1 màu nhưng vẫn có 2 màu trùng,có mùi rất khó chịu.vì đi tặng nên không biết sản phẩm có có giãn tốt hay không",4,,1,1,0
"hàng không giống hình, chất liệu cũng mát, giao hàng nhanh, ",4,,0,1,1
hàng cũng được. chất lượng tạm ổn. giao hàng thì hơi chậm xíu!,4,,0,1,1
hàng ok nhé. ship nhanh. 4 màu thì tốt hơn.,4,,0,1,4
quần khá tốt nhưng cho 4 sao tại vì không che tên sản phẩm như yêu cầu của khách hàng,4,,1,0,2
đóng gói bình thường. quần có mùi . giặt phai màu. giao hàng nhanh,4,,0,1,2
hàng đóng gói cẩn thận. chưa dùng nên chưa rõ chất lượng ra sao.,4,,0,0,2
do không chụp ảnh nên mình để tạm ảnh khác ạ. mình nặng 70kg mặc xl chật nha mọi người. nên tăng 1 size mặc cho thoải mái ạ,4,,0,0,2
sản phẩm ổn tuy nhiên mới giặt máy 1 lần bị rách hết 1 cái rồi. nhưng chấp nhận được,4,,0,0,2
"mặc êm, thoải mái, đóng gói ổn giao hàng nhanh chóng, sẽ ủng hộ thêm",4,,0,0,2
không đủ màu không như hình quảng cáo .,4,,0,0,4
"chưa mặc chưa biết như thế nào nhưng cảm quan ban đầu chất co dãn tốt, size hơi nhỏ. Ok",4,,0,0,4
"chất lượng ổn, mẫu mã khá đẹp, đóng gói gửi tới nơi hộp bị nát, phù hợp với giá tiền",4,,0,0,4
"đóng gói đẹp, thời gian giao hàng nhanh chóng",4,"chào dangthuyduong94, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc dangthuyduong94 một ngày tốt lành! ",0,1,4
"mình lấy size hơi nhỏ , hàng cũng tạm ổn thôi",4,,0,0,4
"gói hàng cẩn thận, sản phẩm đẹp, giống hình",4,,1,0,1
"mình mua hộ người yêu size 3xl nhưng mà nó khá nó. ngang bằng 2xl rồi, dù sao cũng cám ơn shop",4,"chào g120801, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc g120801 một ngày tốt lành! ",0,0,4
"hình ảnh và video chỉ mang tính chất giải trí, quần hơi chật, mình lên lấy lên 1 size cho thoải mái",4,,0,0,2
shop đóng gói đẹp giao hàng bình thường hàng đúng với mô tả ,4,,1,1,0
giao thiếu hàng nhưng shop đang xử lý,4,,1,0,0
không được thoải mái lắm. cho shop 4 sao,4,,0,0,4
phù hợp với giá tiền,4,,0,0,4
hộp đựng sản phẩm không giống hình shop đăng. giặt thì ra màu. kích thước phù hợp với trọng lượng cơ thể (xl - 57kg).,4,,0,0,3
sản phẩm nói chung là mặc thoáng mát cả ok chất liệu mềm mịn nhưng mà hơi bỏng đánh giá shop lúc 4 sao,4,,0,0,2
giao hàng nhanh chất lượng tạm ổn so với giá đó mỗi tội hộp đựng hơi xấu một tí à còn nữa là mình báo shop che tên sản phẩm rồi mà shop không có che,4,,1,1,0
hộp không giống hình .không có tem mác . vải mặc thoáng phù hợp với giá của sản phẩm,4,"chào n*g, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc n*g một ngày tốt lành! ",0,0,4
"hàng như hình, nhờ shop che tên sản phẩm shop ừ rồi không thèm che luôn, bớt lại 1 sao nha shop",4,"chào t*1, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc t*1 một ngày tốt lành! ",1,0,0
"sản phẩm cũng khá ok , nhiều chỉ thừa hộp đóng gói thì mùi rất hôi . hình ảnh và video của hãng khác để nhận quà",4,,0,0,1
"hàng được, nhưng mối nối không chắc lắm. (hình ảnh mang tính chất nhận xu)",4,,0,0,1
sản phẩm ok nhưng mình nhận hàng thì hộp đựng nhầu nát quá,4,,0,0,1
chưa mở hàng nhưng thấy đóng gói cẩn thận mong sản phẩm cũng chất lượng,4,,0,0,1
mình rất thích cách gói bưu hàng của shop và cả sản phẩm nữa rất ưng như 1 gói hàng đẹp thì cần thêm thư cảm ơn hay là thứ gì đó đại loại shop nên tinh tế vào nha,4,,1,0,0
"giặt lần đầu thấy ra màu không biết lần sau có bị ra không, phù hợp giá tiền",4,,0,0,3
"sản phẩm ok tuy nhiên đường chỉ may cần phải khắc phục lại, mặc thoáng mát",4,"chào t*2, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc t*2 một ngày tốt lành! ",0,0,2
"shop không che tên sản phẩm, mình đã nhắn tin trước mà vẫn không che",4,"chào kieu9.9, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc kieu9.9 một ngày tốt lành! ",1,0,0
"nhận được combo 4 quần, mặc thử thì không hiểu sao có 3 quần vừa size, 1 quần cuối lại chật mà không lẽ giờ lại kêu đổi trả chỉ 1 quần nên thôi. quần không có tem mạc hay size đánh dấu trên quần nên không biết được size nào với size nào. mong shop lần sau cố gắng kiểm duyệt kỹ hơn trước khi giao ạ.",4,"chào solic.gogo, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc solic.gogo một ngày tốt lành! ",0,0,3
"không có quần xanh nhạt như trên ảnh mà thay bằng quần xanh rêu, nhưng mà cũng không sao",4,"chào ngocanh5792, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc ngocanh5792 một ngày tốt lành! ",0,0,2
"giao hàng thì rất lâu . đóng gói trong hộp mất thẩm mĩ quá . nhưng bù lại hàng đẹp, vải oke so với giá",4,"chào nienien111, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc nienien111 một ngày tốt lành! ",0,1,1
nói chung là giá rổ khá hợp lý màu sắc thì tạm ok bền màu còn chất lượng thì phải dùng mới thẩm định được,4,,0,0,1
quần ôm không chặt dùng để tập thể dục thì khá tuyệt mà lỗ hơi to như quần ren của nữ,4,,0,0,2
đặt 1 lần rồi rất ưng nên đặt thêm lần nữa. giao hàng nhanh nhưng không thèm đọc lưu ý không ghi tên sản phẩm của khách hàng nên đánh giá 4*,4,,1,1,0
tưởng sẽ có những màu trong hình nhưng không phải. vải ok,4,,0,0,1
"67kg mặc xl hơi rộng chút, nghe các bạn tăng 1 size nhiều nên nghĩ sẽ vừa mà không hài lòng 100%, chỉ có 3 màu mà không phải 4 màu như minh hoạ",4,,0,0,1
"đóng gói cẩn thận, chất cũng khá ok so với tiền, nhưng shop giao màu sai",4,,1,0,2
chất liệu ok á .nhưng một hộp có tận 2 màu giống nhau luôn ,4,,0,0,3
đóng gói cẩn thận sản phẩm mang rất thoáng,4,"chào do5ux9ia7r, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc do5ux9ia7r một ngày tốt lành! ",1,0,0
màu quần không giống hình quảng cáo,4,,0,0,2
quần khá ổn,4,,0,0,2
"sản phẩm đúng như thông tin như mô tả, nhưng nhìn thực tế sản phẩm thấy không ưng lắm, chỉ may không chắc. cho shop 4* vì giao nhanh.",4,,0,1,1
sản phẩm bị trùng màu,4,,0,0,4
nhận được vải thì ok nhưng màu thì lại 2 màu giống nhau mà có 4 màu khác nhau nên không thích cho lắm lần sau có đổi màu thì báo nhé ,4,,0,0,2
chất lượng ổn có điều shop gửi 2 quần màu giống nhau nên không hài lòng lắm. giao hàng hơi lâu. Thanks,4,,0,0,2
"vải không đẹp, cạp quần quá dày. tiền nào của nấy,giá săn sale thì phù hợp",4,,0,0,2
"thời gian giao hàng nhanh, sản phẩm tốt nhưng cảm giác hơi chật",4,,0,1,1
thời gian giao hàng nhanh. đóng gói sản phẩm tốt. tuy nhiên có sản phẩm bị rách khi chưa sử dụng,4,,0,1,1
size vừa đẹp chất liệu ok giao hàng nhanh. ,4,,0,1,1
mới nhận được hàng. chưa dùng. thấy độ co giãn cũng ok. cho đỡ 4sao,4,,0,0,2
chất hàng ổn trong tầm giá. vì dịch lên giao hàng hơi lâu,4,,0,1,2
"giao hàng nhanh, chất liệu vải mềm đánh giá cho 4 sao dùng nếu tốt thì lần sau sẽ mua ủng hộ thêm ",4,,0,1,2
"đóng gói hàng cẩn thận hàng mình không ưng lắm, tiền nào của nấy",4,,1,0,2
"mặc thoải mái, sản phẩm tốt, đóng gói đẹp mặc dù mua ở shopee, săn được sale cũng ngon",4,,1,0,2
chất lượng thì phải xem mặc 1 thời gian mới biết được. giá thì phù hợp à,4,,0,0,1
quần chất vải khá đẹp nhưng màu không giống quảng cáo lắm,4,,0,0,2
ok. Tốt,4,"chào nguyenanhvan511, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc nguyenanhvan511 một ngày tốt lành! ",0,0,1
dùng tốt nha mọi người vải thoáng mịn.ship nhiệt tình,4,,0,0,1
sản phẩm tốt,4,,0,0,2
quần đẹp y hình.,4,,0,0,2
"giao hàng nhanh, quần thoáng khí nhìn được. nay mới nhận và giặt luôn nên chưa mặc. tạm thời chỉ nhận xét được vậy",4,"chào minhtim0427, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc minhtim0427 một ngày tốt lành! ",0,1,2
giao hàng rất chậm.đổi trạng thái thành công rồi mà mãi không giao .nhắn tin nhờ shop hỗ trợ lại không được,4,"chào phuongthao2k1hls, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc phuongthao2k1hls một ngày tốt lành! ",1,1,0
vải bình thường. 4 cái 1 cái lỗi (rách). nhiều bụi vải. mới về chưa giặt sờ vị đen tay.,4,"chào kucai1993, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc kucai1993 một ngày tốt lành! ",0,0,1
"màu ở ngoài không giống trong ảnh, 4 cái đều màu tối chứ không có màu sáng như ảnh. chất liệu tạm được.",4,"chào babishop2804, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc babishop2804 một ngày tốt lành! ",0,0,1
sản phẩm ok. trừ 1 điểm người giao hàng chả cần biết người nhận hàng là ai,4,"chào chipham123vn, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc chipham123vn một ngày tốt lành! ",0,1,1
"95kg bụng to mặc bigsize ở shop vừa lỗ thoáng khí nhưng tiếc là không có màu sáng như trên hình quảng cáo vải mềm, đẹp, chắc chắn",4,"chào tothanhthao1103, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc tothanhthao1103 một ngày tốt lành! ",0,0,1
"sản phẩm thì ok mà nhắn cho shop thì hông phản hồi, còn kêu shop 4 mẫu giống y hình mà shop lấy 2 mẫu đen thất vọng ",4,"chào thanhai281104, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc thanhai281104 một ngày tốt lành! ",1,0,0
"chất lượng ok, nhưng hàng được giao màu nó gần giống nhau quá. cho 4 sao",4,"chào sangphm155, không biết bạn chưa hài lòng về điều gì về sản phẩm bên shop ạ. hãy nói cho shop biết để shop khắc phục ạ. nếu bạn đã hài lòng thì bạn vui lòng đánh giá 5 sao giúp shop nhé.",0,0,2
nhắn trước cho shop là che tên. mà nhận hàng vẫn còn tên.,4,"chào phuchong3000, cảm ơn bạn đã dành thời gian đánh giá cho shop. đánh giá của bạn chính là động lực để shop cố gắng hơn nữa. chúc phuchong3000 một ngày tốt lành! ",1,0,0
không biết sao nhưng mà mọi người cân nhắc chọn size. mình cao 1m6 nặng 62kg mặc xl vẫn còn chật. nhưng shop cũng đã đổi lại cho mình size lớn hơn ,4,,1,0,0
"nhiều mặt hàng nên xoá tên sản phẩm, cho 4 sao để nhớ không là 5 sao",4,,1,0,0
đẹp và giao hàng nhanh chất lượng chưa biết sản phẩm như hình ảnh trên shopee,4,,0,1,1
mới dùng nên chưa đánh giá được độ bền. nhưng rẻ thì cứ 4* đã,4,,0,0,4
hàng tốt nhưng cái size có vẻ không ổn lắm ! nên trừ hao khi mua.,4,,0,0,1
giao hàng nhanh lẹ chất lượng oke nhưng mà không che tên đơn hàng trong khi đã lưu ý che tên,4,,1,1,0
gửi nhầm hàng nhưng vì dịch nên chồng mình lấy luôn . tuy sản phẩm ít hơn tiền mình đặt nhưng shop cũng nhiệt tình nên cho qua .,4,,1,0,0
"đóng gói sản phẩm đẹp, chất vải tạm ổn. giao hàng hơi chậm vì dịch",4,,1,1,0
chất lượng tốt tuy nhiên có thể do dịch lên giao hàng hơi chậm,4,,0,1,1
"hàng đúng như hình tuy nhiên size bé, mình đặt 3xl về không mặc vừa , chỉ bằng xl độ co giãn kém , tốt nhất những bạn dưới 60kg hãy mua, trên 60kg mua mất tiền oan",4,,0,0,2
sản phẩm tốt phù hợp giá tiền. tiếc là mua nhầm size nên không sử dụng được. sẽ mua tiếp nếu có dịp,4,,0,0,1
"quần cũng đẹp nhưng gia bị trùng màu. chú ý: nên mua lớn hơn bảng size của shop, mình 75kg, 1m77 mua size lớn nhất còn cảm hơi bó 1 chút.",4,,0,0,2
shipper giao sai địa chỉ sai người nhận may người ta thấy số mình người ta gọi lại không là mình mất hàng rồi! thanh toán trước mà giao vậy là toang tôi rồi shop,4,,0,1,0
 mình tưởng một hợp vậy bốn quần mỗi quần màu khác nhau ai dè shop giao cho hai cái đen hai cái xanh đen .,4,,0,0,2
cũng được.,4,,0,0,2
mua size 2xl giao xl còn quẹt thêm chữ x nữa cho đủ xl nữa chứ . mỏng nhẹ . còn bền không thì không chắc chắn dùng lâu mới biết,4,,0,0,2
chất thì oke mà hơi chật so với với size shop đề theo cân nặng,4,,0,0,2
"quần thì ok, nhưng áo shop giao sai mẫu, áo đặt size 34 shop giao 36. khá thất vọng",4,,0,0,2
"đúng mẫu,đóng gói đẹp",4,,0,0,1
hàng đẹp tuy nhiên giao cho khách 4 cái cùng màu đen. bó tay luôn,4,,0,0,4
quảng cáo 1 set có 4 màu nhưng khi nhận được hàng chỉ có 2 màu xanh và đen ,4,,0,0,4
mua 2 loại với giá khác nhau nhưng nhận 2 hộp giống nhau ,4,,0,0,4
hàng ok nhưng size không đúng lắm. nếu mua nên chọn lớn hơn 1 size. ,4,,0,0,4
