khach_cmt,rating,shop_phan_hoi,shop,dvvc,sản phẩm
"rẻ, mặc được, nên mua.hình ảnh mang tính nhận xu, nhưng trừ 1 sao vì túi quần chưa mặc đã rách 2 bên",4,,0,0,2
"sản phẩm ok. size m hơi nhỏ so với bạn 47kg nhà mình, bị cộc, hơi bó.",4,,0,0,1
"chất quần khá ok nhưng bị túi mỗi bên 1 màu thế này ạ, quần nam mà cho túi màu tím , không có vấn đề lắm nhưng thực sự nhìn không ưng ",4,,0,0,2
sản phẩm ổn so với giá bên ngoài giá thành cũng ok so với bên ngoài,4,,0,0,1
"giao hàng nhanh, tiền nào của ấy, đường may quần bo co kéo không thẳng, nói chung là tiền nào của nấy ",4,,0,1,2
đồ đẹp vừa giá tiền có điều shop nên gói hàng kỹ tý giao tới nơi rách bọc vào trong áo luôn .,4,,1,0,1
sản phẩm ổn so với giá tiền. form quần bình thường. tiền nào sản phẩm như vậy. .,4,,0,0,2
đồ ok phù hợp với giá tiền chất cũng ổn dù không dầy lắm .,4,,0,0,1
"hàng đẹp, mới mặc thử thấy vừa riêng size m hơi chật, hi vọng mặc tập thể dục không nóng",4,,0,0,1
"mình mua 4 cái mà shop giao 1 cái bị lỗi, sớ vải bị rút tưa dễ sạc.không biết shop cố tình hay vô tình nhưng mình mong shop lần sau có giao cho khách thì đúng hàng không bị lỗi .",4,,1,0,1
đã mua của shop 2 lần. chất vải oke. mỗi tội lần này sao quần bị đứt đường chỉ may. và hơi nhiều chỉ thừa. nên cho tạm 4 sao thôi. bục thế này mặc sẽ k bền. nói chung tạm được vì giá cũng rẻ. giao nhanh,4,,0,1,2
"quần mặc thì bình thường , chỉ thừa siu siu nhiều . ngồi cắt chỉ thừa mà mệt ghê luôn á",4,,0,0,2
cũng được nhưng đường may không chắc sợ mặc vài lần tuột chỉ rách,4,,0,0,1
chỉ thưa hơi nhiều mọi người nên mua rộng hơn 1 size nhe,4,,0,0,1
"đã nhận được hàng sản phẩm rất đẹp chất liệu giống như hình, rất là tuyệt vời",4,,0,0,2
hàng đẹp.đáng mua. tuy nhiên quần bị sứt chỉ nhiều quá. tạm hài lòng,4,,0,0,2
"hàng ship hơi chậm tí thui nhưng mà bù lại quần được quá ạ, đúng như trong hình",4,,0,1,2
"mua 1 sọc đen, 1 sọc trắng. nhưng chắc là shop hết đen, quăng luôn cho 2 trắng. không ưng lắm nhé ! ",4,,1,0,0
"hàng khá đẹp nhưng chắc shop không kiểm tra trước khi giao nên bị như ảnh, để 4 sao rút kinh nghiệm lần sau",4,,1,0,2
"giao hàng nhanh ,1 quần thì ok ,1 quần thì mỗi bên 1 màu nhìn chán lắm luôn , nhưng có mấy chục nên không đổi",4,,0,1,2
mua 2 cái thì giao sai 1 mẫu.nhắn tin thì shop giải quyết chậm.chồng mình lại không thích bo gấu.đặt 1 bo 1 không mà giao cả 2 bo,4,,1,0,0
"chất vải, form quần ok. nhưng shop gửi hàng bị lỗi phần sọc trắng và may chắp vá xấu.",4,,1,0,1
"chất quần dày nhưng hơi mùi,giặt xong hơi bị xù, dùng 1 thời gian xem thế nào đã. chọn bừa ảnh để lấy xu",4,,0,0,2
"chất sờ thích hàng tạm được , hàng giao nhanh , cho shop 4 sao nhé ",4,,0,1,2
"giao hàng lâu, vải quần hơi mỏng, phù hợp giá tiền hình ảnh mang tính chất nhận xu",4,,0,1,1
,4,,0,0,0
thời gian giao hàng khá là lâu. bù lại thì chất lượng sản phẩm tốt,4,,0,1,1
vải mỏng giá rẻ giao hàng nhanh đóng gói ổn giá cả không mong gì nhiều,4,,0,1,1
"tạm ổn, với già này thì được vậy cũng tốt rồi ạ",4,,0,0,2
quần đẹp giá cả ok vải là vải mát nên mùa đông mặc sẽ hơi lạnh hợp mùa thu hơn,4,,0,0,2
"quần đẹp giao hàng nhanh và đúng size, shiper rất nhiệt tình, rất đáng tiền",4,,0,1,2
giao hàng hơi lâu xíu quần 3xl mà mặc nó như là size m ý,4,,0,1,2
"vải mỏng hơn mình nghĩ, nhưng giá như vậy là hợp lý rồi không đòi hỏi thêm.",4,,0,0,1
áo sờn chỉ. còn lại tạm được. ủng hộ shop 4 sao,4,,0,0,1
quần hơi mỏng,4,,0,0,2
đặt size m l thì thấy 2 cái bằng nhau một cái m bị lỗi túi với khoá kéo nói chung tiền nào của đấy .hàng như thế là ok,4,,0,0,2
quần quá mỏng,4,,0,0,2
hàng như hình nhưng phần cổ chân hơi chật đút chân vô còn chật nhé,4,,0,0,2
chất vải so với giá tiền thì ok .đường may không được đẹp,4,,0,0,1
vải đẹp dầy dặn. nhưng mua hai quần khác nhau thì lại giao hai cái giống nhau buồn đáng lẽ là 5 sao nhưng do giao không đúng nên trừ một sao,4,,1,0,2
"chất lượng phù hoạp với giâ tiền. nhưng túi quá nông, đút cái chìa khoá mà nó vắt ra đùi bên hông, đút điện thoại không vừa, đi bị cấn hết lên mạn sườn",4,,0,0,2
quần khá mỏng và ống không bó tuy nhiên trong tầm giá thì cũng không đòi hỏi được nhiều,4,,0,0,2
"chất lượng vải bình thường trong tầm giá, chắc là sẽ xù. mua về mình đem giặt luôn và thấy nước bị phai màu đen ngòm túm lại là không được ưng ý, hàng rẻ tiền thì chỉ được như vậy thôi",4,,0,0,1
ok,4,,0,0,1
hàng thì khá ok. nhưng mà giao hàng lâu quá !,4,,0,1,1
size hơi bé! mọi người có thể chọn to hơn size cũng được nha,4,,0,0,1
quần rất đẹp ạ nhưng dính cái gì trắng trắng không làm sạch được ạ,4,,0,0,2
đặt lần 2 giao đúng size.good,4,,1,0,0
"gần 1m6 nặng 54kg, bắp chân hơi lớn nên mua size m thì mặc bó chút, size l thì ok nhưng hơi dài, nhưng hàng khá ok, giao nhanh và mặc ổn, mua 5 cái rồi thấy được",4,,0,1,1
đẹp nhưng vải hơi mềm phù hợp với giá tiền quần hơi bị lệch,4,,0,0,2
"chất vải hợp với giá tiền,ống quần không giống nên cho 4 sao",4,,0,0,2
hỏi mỏng nhưng phù hợp với giá tiền,4,,0,0,1
chất liệu ổn hợp giá túi nhưng có hơi tí mỏng,4,,0,0,2
"chất lượng đúng với giá tiền. ưu điểm giao hàng nhanh, hôm qua đặt nay có hàng. nhược điểm chỉ thừa khá nhiều",4,,0,1,1
bung chỉ đũng quần và hơi mỏng nhưng hơn 50k thế là ok rồi,4,,0,0,2
hàng đẹp nhưng hơi mỏng .mặc được 3 lần bị rút vải hở cả quần sì.,4,,0,0,2
chất vải quần không dày cũng không mỏng quá đủ dùng nhưng chưa mặc mà chỉ ở đai quần đã xổ hết chỉ thì giặt 1 thời gian là đai quần không còn 1 tí chỉ luôn nhưng giá vậy cũng không đòi hỏi quá nhiều về sản phẩm cho 4*,4,,0,0,2
"vải hơi mỏng, đường may không được chắc chắn lắm. nói chung phù hợp với giá tiền",4,,0,0,1
shop phục vụ nhiệt tình.cơ mà quần hơi mỏng nhưng với giá như thế thì quần cũng được,4,,1,0,2
"1 quần bị lỗi séc túi, séc chưa được may bung 1 nửa còn cơ bản là ổn.",4,,0,0,2
"mình đặt 3 áo cùng size 2xl mà chỉ 1 áo mặc vừa, 2 áo chật, không hài lòng cho lắm. những mẫu mã và chất liệu vải như hình, phù hợp giá tiền.",4,,0,0,1
sản phẩm được ống quần hơi nhỏ khó để sỏ chân,4,,0,0,2
size l quá bé ai mà chân to lên mua xl hoặc to hơn chứ l bé lắm,4,,0,0,2
"quần đẹp , vải dày , có điều quần hơi dài xíu , trước khi đặt không biết chất lượng như ý hay không , nên đặt có 1 cái giờ thấy tiếc giờ đặt lại tốn phí ship",4,,0,0,2
"tiền nào của đó, rẻ nhưng chất vải mỏng. cũng bình thường so với giá cả thì không phải ngon bổ rẻ.",4,,0,0,1
chất lượng ok nhưng hơi thắc mắc tại sao 3 cái túi khác chất nhau 1 cái giống như giấy,4,,0,0,2
hàng ok nhé mọi người,4,,0,0,2
chất ok nhưng may ẩu quá. lệch đường may quá nhiều. nhưng nòi chung cũng ổn,4,,0,0,2
quần hơi ngắn nhưng chất vải đẹp khá ưng,4,,0,0,2
hơi chật. nhưng cũng được.,4,,0,0,1
size hơi bé. mình nặng 75 cân nhưng mặc size to nhất mới vừa. vải cũng tạm ổn,4,,0,0,1
quần bị sứt chỉ nhiều nên rách. có liên hệ với shop và shop kêu mình đi ra tiệm đạp chỉ lại rồi shop hoàn tiền. shop phản hồi khách tốt. cho 4* nha vì vải quần cũng không đẹp lắm,4,,1,0,2
sản phẩm đúng giá mặc đẹp hơi mỏng nhưng không sao mỗi tội bục chỉ hơi nhiều cho 4 sao,4,,0,0,2
giao hàng lâu. hàng cũng bình thường quần mỏng. Nói chung so với giá tiền không phải rẻ.,4,,0,1,1
quần không phải chất umi và đũng hơi dài. nhưng cũng được với giá tiền,4,,0,0,2
"mua lần 2 mới vừa, shop ghi 78-85kg mà mình 75kg còn chưa rộng.",4,,1,0,0
dây buộc quần không co giãn cứng như dây thừng. thà không làm thì thôi,4,,0,0,2
rách mất rồi,4,,0,0,1
quần đẹp nhưng vải hơi mỏng. mang mùa lạnh sẽ không ấm. ,4,,0,0,2
"vải được, may hơi ẩu, đường may đũng không cân đối 2 bên, mặc bị lệch",4,,0,0,2
giá như tư vấn lấy 2 màu thì tốt,4,,1,0,0
"quần đẹp khá ổn, nhưng mình đặt 2 cái sọc thẳng, mà lại giao mình 1 cái sọc thẳng, 1 cái sọc ngang nên trừ 1*",4,,1,0,2
"gần giống như mô tả, xl hơi rộng xíu nhưng sản phẩm ổn, quá ổn với hàng giá rẻ",4,,0,0,1
"sản phẩm ok, mỗi tội bo gấu hơi rộng.em cao 1m60 nặng 53kg mặc size l hơi rộng. nói chung với giá tiền đó ok. ủng hộ shop",4,,0,0,2
"chất vải bị xổ , nói chung cũng bình thường",4,,0,0,1
mẫu mã đẹp vải nhìn đẹp nhưng chất lượng hơi kém vừa mặc 2 hôm đã bị nhăn và vải bị bong ,4,,0,0,2
"sản phẩm khá giống hình, tuy nhiên không bó giống trong ảnh. sẽ ủng hộ shop lần sau.",4,,0,0,1
dây chun quần không co dãn không khác gì dây giày còn mọi thứ đều tốt . chỉ không hài lòng về dây quần ,4,,0,0,2
ống hơi chật nhé,4,,0,0,2
lần thứ 3 mua của shop thấy ok nhưng bị một cái chỉ thừa nhiều,4,,0,0,2
đặt 2 cái xl mà nhận chỉ có 1 cái xl còn 1 cái còn lại thì 2xl vải thì ok,4,,1,0,0
"đường chỉ còn lỗi nhiều nhưng chất liệu ổn, kiểu dáng gọn nhẹ. nói chung cũng ổn so với giá tiền! may cẩn thận chút nữa thì ok. sẽ mua tiếp",4,,0,0,1
"quần đẹp, mà gấu bo không được tốt cho lắm nhỉ, mình cứ tưởng ống bo sẽ dày ",4,,0,0,2
"chưa mặc thử, nhìn qua thì có vẻ quần ok so với giá",4,,0,0,1
vải mỏng,4,,0,0,2
"mình đặt 2 chiếc cỡ l , 1 chiếc chật , 1 chiếc vừa. shop lưu ý giùm",4,,1,0,1
"hàng mặc rất vừa, chất vải cũng được và đường chỉ cũng chẵc chắn",4,,0,0,1
quần đẹp. phù hợp với giá tiền. nhưng giao hàng chậm hơn so với dự kiến. 4 sao nha shop.,4,,0,1,2
quần cũng khá đẹp không được dày lắm nhưng cũng ok,4,,0,0,2
"hơi mỏng, với giá tiền thế thì ok",4,,0,0,1
"vải mỏng, form bé nha mọi người",4,,0,0,1
ok,4,,0,0,2
chất không được đẹp lắm tạm thôi,4,,0,0,1
hơi mỏng tí,4,,0,0,1
so với giá tiền thì cũng được,4,,0,0,2
hơi ngắn 1 chút,4,,0,0,1
vải hơi mỏng hơn mong đợi,4,,0,0,2
phần phía dưới không được bó lắm nha mọi người,4,,0,0,1
quần hơi mỏng,4,,0,0,2
hơi mỏng,4,,0,0,1
hàng mặc cũng được.phù hợp với giá tiền,4,,0,0,2
cũng được,4,,0,0,1
cũng được,4,,0,0,2
hơi dài quá,4,,0,0,1
sản phẩm ok,4,,0,0,2
đợt này chất mỏng,4,,0,0,1
hàng tạm ổn,4,,0,0,2
"mình 44kg mặc hơi lỏng, mà vẫn chấp nhận được",4,,0,0,1
tương đối,4,,0,0,2
hợp với giá tiền,4,,0,0,1
tạm được,4,,0,0,2
vải cũng ok nhưng sản phẩm không giống mẫu ạ,4,,0,0,1
tạm,4,,0,0,2
nói chung mặc ổn áp,4,,0,0,1
"quần mặc vừa, đẹp, giao hàng nhanh.",4,,0,1,2
tạm được,4,,0,0,1
ok,4,,0,0,2
quần đẹp nhưng hơi mỏng nha quý dị,4,,0,0,2
ổn với giá tiền,4,,0,0,1
cũng tạm nếu không muốn nói là dởm,4,,0,0,1
hàng rất ok,4,,0,0,2
quần tạm được .,4,,0,0,2
"chất vãi ok, giao quần không giống hình",4,,0,0,2
giao hàng chậm,4,,0,1,0
"quần mỏng , bị sờn chỉ hơi thất vọng",4,,0,0,2
tạm được,4,,0,0,2
oki,4,,0,0,1
shop giao sai size,4,,1,0,0
quần chất mỏng. nói chung tiền nào của đấy,4,,0,0,2
chất ok nhưng mua 2 cái túi quần đều bị thủng ,4,,0,0,2
rất đẹp rất tốt nhưng vãi hơi mỏng,4,,0,0,1
chất lượng phù hợp với giá cả,4,,0,0,1
"vải hơi mỏng, nhưng tầm giá thế là ok",4,,0,0,2
tạm ổn trong tầm giá,4,,0,0,1
chỉ thừa hơi nhiều,4,,0,0,2
.,4,,0,0,0
nhanh,4,,0,1,0
hì,4,,0,0,0
quần mặc 1 lần đã xù lông.,4,,0,0,2
tư vấn size không chuẩn,4,,1,0,0
phù hợp giá tiền,4,,0,0,1
ổn nha ae ,4,,0,0,2
giao hàng hơi chậm nhưng chất lượng vải quá ok ,4,,0,1,1
hơi mỏng túi không có khóa. không như mong đợi,4,,0,0,2
vải hơi mỏng,4,,0,0,2
may không cẩn thận thừa nhiều chỉ,4,,0,0,1
"hơi mỏng so với tưởng tượng, còn lại vải mềm, êm.",4,,0,0,1
"quần vừa vặn, co dãn tốt, hơi bí 1 chút",4,,0,0,2
hàng bị phai màu khi giặt,4,,0,0,1
tiền nào của đấy.,4,,0,0,2
quần được nhưng hơi bị rộng.buồn quá ,4,,0,0,2
quần ống to ống nhỏ là sao ,4,,0,0,2
mỗi tội giao hàng chậm ,4,,0,1,0
chất lượng vải túi chưa được tốt. ,4,,0,0,1
"giao hàng nhanh, vải không được dày lắm",4,,0,1,1
bình thường phù hợp với giá,4,,0,0,1
vải mịn nhưng hơi mỏng nhưng với giá thì ok,4,,0,0,2
"quần hơi mỏng , giao hành nhanh gói hàng kĩ .",4,,0,1,2
hơi thích 1 tẹo ,4,,0,0,1
ok mà sai hơi nhỏ,4,,0,0,1
"quần đẹp, vải oke ạ. giá như vậy thì rất oke ạ",4,,0,0,2
tạm,4,,0,0,1
cũng được anh em ạ,4,,0,0,1
quần rất ok ,4,,0,0,2
ok,4,,0,0,1
,4,,0,0,0
"giống ảnh, nhưng phải nói là chất rất xấu, mặc lên sẽ không đẹp",4,,0,0,1
"hàng giao nhanh, đúng mẫu nhưng chất vải không ưng lắm, cho shop 4 sao thôi",4,,0,1,1
hàng ổn nha giao nhanh lắm chất lượng thì có 1 vài chỉ thừa hết rùi,4,,0,1,2
"quần rất đẹp nha mọi người, nên mua để ủng hộ shop. hình ảnh chỉ mang tính chất nhận xu nha",4,,0,0,2
khá ổn nhưng hơi dơ xíu,4,,0,0,1
mình 60kg m70 thì mặc vừa chất liệu ổn không có chỉ thừa nhưng giao hàng lâu lên cho 4 sao thôi,4,,0,1,1
"mình đã đặt hai quần đen nhưng shop lại giao cho mình 1đen 1 hồng , mua cho con trai mặc tết mà shop giao quần hồng",4,,1,0,2
"quần siêu đẹp luôn nha mọi người chất quần hồng thì sẽ thô và dày hơn quần trắng,quần trắng tuy mỏng hơn tẹo nhưng mà chất siêu đẹp không lộ đâu nha mọi người,lần thứ 2 mua của shop rồi,rất đẹp luôn nhưng mà mỗi tội quần trắng của mình dính một vệt bẩn dài giặt mãi không hết và phần chữ may hay xấu",4,,0,0,2
"đóng gói chắc chắn , không giống hình cho lắm ,chất liệu ổn , giá cả phù hợp",4,,1,0,1
hàng chất lượng được giao hàng nhanh shop cũng ok form không chuẩn lắm mặc vào nhìn hơi gầy ảnh và video mang tính chất nhận xu,4,,0,1,1
"vải có vẻ hơi nóng í nhưng mà mình thấy quần khá đẹp, với giá tiền này thì như thế là hợp lí rùi ạ",4,,0,0,2
"quần hơi nhiều chỉ thừa, phần chữ thêu chưa được hoàn thiện tốt cho lắm, nhận quần có 1 nốt đen lạ trên quần. nhưng chất quần co dãn tốt, giao hàng nhanh, quần lên form đẹp. chúc shop cố gắng hoàn thiện sản phẩm hơn",4,"shop cảm ơn bạn nhiều, shop sẽ cố gắng hoàn thiện sản phẩm đẹp hơn nữa, chất liệu quần rất đẹp shop cảm ơn bạn mong bạn ủng hộ shop ",0,1,2
quần giống hình y chang luôn mỗi tội là còn ít chỉ thừa mình cao m7 nặng 57 size l mà hơi bé,4,,0,0,2
vải khá mỏng mặc vào mùa hè thì được dáng quần không ưng í lắm đi với giày thì quần không được đứng form hơi thụng mình có cảm giác giống quần thể dục,4,,0,0,2
"shop giao hàng nhanh mà đẹp lắm luôn nha . quần không dày cũng không mỏng , mặc cực thích luôn. 1m67 size xl thoải mái nha vừa xinh luôn. nhưng bị xù lông các bạn ạ, mới mặc 1 lần mà xù luôn rồi",4,,0,1,2
"vảo hơi bóng, mỏng, tạm được, còn chút chỉ thừa thôi khá ổn nhé",4,,0,0,1
"quần y hình, chất ok, quần rẻ mà đẹp, tuy nhiên giao hàng cực kì lâu, cùng hn giao hn mà 1 tuần mới nhận hàng, lâu hơn cả đơn quốc tế",4,,0,0,2
"quần tạm ổn, dùng để học thể online. mặc mát nhưng không tôn dáng lắm.",4,,0,0,2
"shop giao nhầm quần, may mà quần giao nhầm cũng là màu đen, chất lượng hàng ok, hơi thủng một tí ở mé chữ, giao nhanh, nói chung cũng đáng tiền",4,cám ơn em.,1,1,2
"quần khá chuẩn với ảnh, phù vợ với giá tiền, lên rất đúng form!",4,dạ đẹp mà anh cho 4 sao tội em gê,0,0,2
"quần mỏng nha tương đối mát nma dài quá so với mình á 1m4 mặc dài lắm mik phải kéo lên tận trên nách mới mặc được,trên 1m5 mặc tôn dáng lắm nha ,shop tư vấn size không có chuẩn nha cho 4* hoi ( hình ảnh chỉ mang tính chất nhận xu vì lười chụp) 😘",4,,1,0,2
"quần có vết bẩn ạ, mong là mình tẩy ra, 98k mà quần vậy là đẹp đóng gói cẩn thận, hình ảnh mang tính chất nhận xu thôi ạ!",4,,0,0,2
quần hơi mỏng nhưng ok,4,,0,0,2
chất lượng gần tốt đóng gói chắc vải thấy chưa đẹp lắm tạm ổn chấp nhận được,4,,0,0,2
"sản phẩm đẹp, nhưng vải hơi mỏng, giao hàng nhanh .",4,,0,1,2
"giao hàng nhah. mỗi tội quần hơi mỏng, chưa ưng ý lắm so với giá tiền thì tạm chấp nhận",4,,0,1,2
