khach_cmt,rating,shop_phan_hoi,,,,,,,,,,,,,,,,,,,,,,,
Bảo ống rộng mà hàng về ống bé,1,,,,,,,,,,,,,,,,,,,,,,,,
Trên hình màu khác giao hàng không giống,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng tệ,1,bên shop đồng ý cho a hoàn trả và đổi hàng mà a.shop cũng ib cho a rồi ạ a rep tin nhắn a nhé.thank a,,,,,,,,,,,,,,,,,,,,,,,
Chất vải nhìn quá thô,1,,,,,,,,,,,,,,,,,,,,,,,,
Quần bục chỉ và chỉ thừa nhiều,1,a có gì không hài lòng thì cho shop biết với nhé. mong a hồi âm để shop cải thiện tốt hơn ạ,,,,,,,,,,,,,,,,,,,,,,,
Chất lượng quá kém,1,,,,,,,,,,,,,,,,,,,,,,,,
Vải kém chất lượng không ăn thua,1,20we xin cảm ơn ban đã ủng hộ shop. shop cung lấy làm tiếc về vấn đề trên và shop cũng đã ib và gọi điện cho b để hỗ trợ bạn về đổi lại mẫu or hoàn tiền cho bạn nhưng bạn không phản hồi.không hiểu b cố ý muốn phá shop hay sao ạ?,,,,,,,,,,,,,,,,,,,,,,,
Cúc quần như hàng mã,1,"20we xin cảm ơn quý khách hàng đã lựa chọn dịch vụ của 20we. 20we đã inbox rồi đó, quý khách hãy check ib để cùng trò chuyện với 20we nha !",,,,,,,,,,,,,,,,,,,,,,,
Tệ,1,shop hỗ trợ nhiệt tình và đổi lại sz fre cho b. do thay đổi đánh giá 1 lần rồi nên không thế thay đổi dc nưa. rất mong các b cần hỗ trợ hay có vấn đề gì hãy ib cho shop trc nhe.,,,,,,,,,,,,,,,,,,,,,,,
Dáng hơi giống nữ,1,bên e bán quần nam mà a ơi ? a có gì thắc mắc nhi hỗ trợ a ạ,,,,,,,,,,,,,,,,,,,,,,,
"Shop bán áo kích thước không đúng với size. mua về bé thì mặc sao được. không biết quan tâm tới khách hàng, chỉ biết bán được hàng cho xong.",1,,,,,,,,,,,,,,,,,,,,,,,,
"Quần áo hơi mỏng, thủng 2-3 lỗ nhỏ treo áo lên mới để ý thấy.",1,"rất xin lỗi quý khách vì lỗi của sản phẩm. bên shop đổi hàng tại nhà miễn phí khi sản phẩm lỗi hoặc sai , a/c chat cho bên shop để được hỗ trợ nhé!",,,,,,,,,,,,,,,,,,,,,,,
Mình đặt XL mà nhận hàng là size L nhỏ hơn tới 2 size thì chẳng hiểu là mặc kiểu gì. Đã v còn giao sai mẫu. Trời ơi làm ăn kiểu gì v trời,1,,,,,,,,,,,,,,,,,,,,,,,,
Quần mới mặc bung chỉ tùm lum rách túi quần. tóm lại áo thì ok còn quần thì hết muốn nói,1,,,,,,,,,,,,,,,,,,,,,,,,
"Shop giao 2 bộ 2xl, 1 bộ lớn và bộ nhỏ. size không chuẩn nhỏ như size M vậy, mua về mặc không vừa",1,,,,,,,,,,,,,,,,,,,,,,,,
Mình đặt một kiểu shop gửi một kiểu .không có lần 2 nhé . cho một sao *,1,"nhắn tin bạn không phản hồi, lỗi shop đổi trả miễn phí b nhé!",,,,,,,,,,,,,,,,,,,,,,,
Hình ảnh khác với sản phẩm mình nhận được. rao bán 1 ảnh nhưng hàng giao cho khách lại lại khác nhau,1,,,,,,,,,,,,,,,,,,,,,,,,
Bán hàng không đúng mô tả. không bán đúng đồ thun lạnh nhưng vẫn cãi là bán thun lạnh,1,,,,,,,,,,,,,,,,,,,,,,,,
Shop giao áo size XL nhưng quần thì cắt size đi.quần nhỏ mặc không vừa.áo đẹp.,1,,,,,,,,,,,,,,,,,,,,,,,,
Size L mà nhỏ như size S. Quần thì đường may bị bung chỉ,1,"rất xin lỗi quý khách vì lỗi của sản phẩm. bên shop đổi hàng tại nhà miễn phí khi sản phẩm lỗi hoặc sai , a/c chat cho bên shop để được hỗ trợ nhé!",,,,,,,,,,,,,,,,,,,,,,,
Để size xl 68-78kg nhưng 62 kg mặc không vừa không nên mua!,1,"pucu shop rất xin lỗi bạn về trải nghiệm mua hàng chưa tốt bên shop đổi hàng tại nhà miễn phí khi sản phẩm lỗi hoặc sai , bạn nhắn cho bên shop để được hỗ trợ nhé!",,,,,,,,,,,,,,,,,,,,,,,
"Đặt mua size XL, giao size M, chất lượng áo không như quảng cáo",1,nếu bạn thấy sản phẩm sai lỗi bạn có thể bấm hoàn trả hàng trên ap bạn nhé! bạn có thể cung cấp hình ảnh shop gửi sai như bạn nói được không?,,,,,,,,,,,,,,,,,,,,,,,
"Vải quá xấu, đường may không chắc chắn",1,,,,,,,,,,,,,,,,,,,,,,,,
Đồ không đúng số,1,,,,,,,,,,,,,,,,,,,,,,,,
"Vải không như mong đợi, chất mãi mỏng, nóng",1,,,,,,,,,,,,,,,,,,,,,,,,
"Đồ gì mỏng quá mỏng , áo size L mà nhỏ như size S",1,,,,,,,,,,,,,,,,,,,,,,,,
Áo giao qua vừa dơ giặt không ra. rất tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
Đồ size L nhưng bé quá( tầm cỡ size S),1,,,,,,,,,,,,,,,,,,,,,,,,
"Xấu, gửi áo rách cho khách hàng",1,,,,,,,,,,,,,,,,,,,,,,,,
"Tiền nào của nấy thôi, ham rẻ thì đồ tệ, mỏng",1,khách hàng đặt size xl sau đó nhắn tin cho shop bảo đổi size xl nhưng hàng đã gửi đi trước khi khách nhắn tin sao mà đổi đây bạn. lỗi do bạn mà giờ đổ cho sản phẩm để khách hàng khác người ta hiểu nhầm về sản phẩm à bạn?,,,,,,,,,,,,,,,,,,,,,,,
Mặc nóng,1,,,,,,,,,,,,,,,,,,,,,,,,
Chất lượng kém,1,,,,,,,,,,,,,,,,,,,,,,,,
Không như hình ảnh. mặc không thấy thoải mái,1,,,,,,,,,,,,,,,,,,,,,,,,
Sao chả có size ở áo gì hết vậy? áo quá bé.,1,áo nào cũng có size mà bạn. bạn vui lòng ib cho shop để được hỗ trợ đổi hàng nếu không vừa ạ!,,,,,,,,,,,,,,,,,,,,,,,
Chưa nhận được hàng,1,dạ a/c khiếu nại vào shope để bên họ làm việc với bên vận chuyển ạ! lỗi này không do sản phẩm mà a/c,,,,,,,,,,,,,,,,,,,,,,,
Chưa gì quần đứt chỉ hết rồi . áo thì ok,1,"rất xin lỗi bạn vì bất tiện trên, lỗi sai bên shop đổi trả miễn phí ạ.",,,,,,,,,,,,,,,,,,,,,,,
"Ra màu tan nát cai áo luôn, sợ quá sợ. giao hang nhanh, hàng nào của nấy",1,,,,,,,,,,,,,,,,,,,,,,,,
"Shop gửi áo bị bẩn cho mình, nhưng khi nhắn tin đổi hàng lại cho mình thì không hỗ trợ, không rep tin nhắn để giải quyết. thái độ shop quá tệ",1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng chính hãng mà chất lượng quá kém. chất vải rất nóng. mua về giặt 1 lần. mà phần vải màu xanh than phai ra màu trắng như hình. quần thì vừa mà áo thì quá rộng. định đánh giá 0 sao nhưng ấn nhầm thành 1 sao. khuyên những ai đọc được bình luận này thì đừng có dại mà mua. mất tiền mà rước bực bội,1,,,,,,,,,,,,,,,,,,,,,,,,
"Shopee mall mà lam ăn nhu c, dm.quần rách cũng giao cho người ta,trong khi người ta nhắn tin không thèm trả lời.mọi người đừng mua nhé, shop kém chất lượng, lừa đảo",1,,,,,,,,,,,,,,,,,,,,,,,,
Hình ảnh không liên quan. nhưng cho shop 1 sao vì lần đầu mua hàng về gặt áo bị phai màu. buồn,1,,,,,,,,,,,,,,,,,,,,,,,,
"Áo bị lem màu, phần trắng bị lem bởi màu phần đen, bẩn kinh khủng, chưa mặc lần nào giờ vứt luôn, giặt không ra nổi",1,,,,,,,,,,,,,,,,,,,,,,,,
"Chất lượng sản phẩm tốt, nhưng ở đây mình muốn phản ánh người giao hàng tới cho mình có thái độ nói chuyện cọc với người nhận hàng và rất mất lịch sự, cần phải xem lại thái độ không hợp tác với cách nói chuyện của người giao hàng ạ",1,,,,,,,,,,,,,,,,,,,,,,,,
shop phục vụ quá tệ mình đặt đồ về bạn mình mặc rộng lúc mua thì ib shop nói hỗ trợ đổi size bây giờ bạn mình mặc không vừa mình nhắn tin nhờ shop hỗ trợ đổi size shop không trả lời shop làm việc quá tệ mọi người có đặt đồ nhớ lưu ý nha,1,,,,,,,,,,,,,,,,,,,,,,,,
Quá thất vọng. vải thô sơ cứng. quá rộng so với size. chán nản. nói chung bà con không nên mua shop này,1,,,,,,,,,,,,,,,,,,,,,,,,
Chất lượng không thể tệ hơn. không cho trả lại hàng nên mua về vứt xó. áo vừa nặng vừa nóng bí,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao sai màu. không hoàn tiền,1,,,,,,,,,,,,,,,,,,,,,,,,
"Áo size M dài và rộng quá. áo size M ,quần size XL không biết mặc sao",1,,,,,,,,,,,,,,,,,,,,,,,,
Size M mà to thấy tổ bố luôn . áo thì nặng chất vải mặc nóng,1,,,,,,,,,,,,,,,,,,,,,,,,
Lỗi tay áo không cho đổi trả shope,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao thiếu hàng mua 3 bộ giao 2 bộ,1,,,,,,,,,,,,,,,,,,,,,,,,
Áo đẹp nhưng giao hàng quá lâu,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao hàng quá lâu,1,,,,,,,,,,,,,,,,,,,,,,,,
Thời gian giao hàng cực kì chậm,1,,,,,,,,,,,,,,,,,,,,,,,,
Phù hợp tầm giá nhưng để ảnh sản phẩm khác với hàng nhận được quá!,1,,,,,,,,,,,,,,,,,,,,,,,,
"Chưa khi nào mua hàng shope thất vọng như vậy luôn. đóng hàng siêu cẩu thả, from giày về nhà bị toè ra luôn. đúng là quá thất vọng. không bao giờ quay lại",1,,,,,,,,,,,,,,,,,,,,,,,,
"Túi đựng hàng bẩn, khi nhận bị thủng túi lộ giày ra và có vết va quệt làm xước đế giày",1,,,,,,,,,,,,,,,,,,,,,,,,
"Hàng đúng kiểu tiền nào của đó, nhưng mà shop cho cái hình quảng cáo khác nhau một trời một vực đóng gói cực kì tệ có mỗi cái túi nilon mùi nhựa cực kì khó chịu ,giày mỏng và rất ọp ẹp , tốt nhất không nên mua , mua 1 lần không có lần hai ,mất uy tín quá",1,,,,,,,,,,,,,,,,,,,,,,,,
"Giao hàng hơi lâu giày đi được 1 lần là hỏng, đế quá kém nói chung là tuy rẻ nhưng gần như không dùng được",1,,,,,,,,,,,,,,,,,,,,,,,,
Vận chuyển nhanh. đóng gói sơ sài. giày mình đặt 42 lại giao 43. và xoá mờ số 3 đi. nhắn tin shop không thấy trả lời,1,,,,,,,,,,,,,,,,,,,,,,,,
"Mua giày này mà lại giao đôi khác sản phẩm giá rẻ chất lượng cũng tạm, nhựa thừa nhiều",1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm rất xấu. anh em nào không có tiền thì mua chứ không thì đừng mua làm gì cho phí tiền. t mua về giờ vứt xó luôn này.,1,,,,,,,,,,,,,,,,,,,,,,,,
"Đặt thêm chai vệ sinh giày thì mở đơn kg có giao thiếu hàng, nhắn tin shop ý kiến không trả lời phục vụ kém.",1,,,,,,,,,,,,,,,,,,,,,,,,
Giày xấu lắm mọi người đừng mua nha,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao hàng không giống mẫu đã đặt. xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
43 mà bé vậy . đi không vừa,1,,,,,,,,,,,,,,,,,,,,,,,,
Hà Nội mà hơn 1 tuần mới nhận được hàng. nhận về thì được sản phẩm lỗi kiểu bán hàng chỉ cần bán 1 lần,1,,,,,,,,,,,,,,,,,,,,,,,,
"Giao hàng nhanh, đúng màu sắc. shop bán chỉ đôi lót bung ra hết, thất vọng về shop. shop làm ăn có tâm tý đi.",1,,,,,,,,,,,,,,,,,,,,,,,,
Mua giày mà shop ship dép liên hệ thì lại bảo lên shope trả ? làm ăn không rõ ràng,1,,,,,,,,,,,,,,,,,,,,,,,,
Shop gửi cho 2 chiếc giày phải và thậm chí còn không cùng size ? bao giờ shop giải quyết thì mình đánh giá lại,1,,,,,,,,,,,,,,,,,,,,,,,,
"Giao không đúng hàng, không như hình ảnh chia sẻ. không nên mua anh em nha ",1,,,,,,,,,,,,,,,,,,,,,,,,
Xấu vê lờ. giao hàng chậm. vận chuyển cũng chậm. tưởng sales hoá ra không bằng hàng không sales,1,,,,,,,,,,,,,,,,,,,,,,,,
"Cao su bị co , mùi nặng quá , sản phẩm kém ,chán thiệt .",1,,,,,,,,,,,,,,,,,,,,,,,,
Quá tệ. đế cao su sùi hết lên xung quanh luôn .thấy vô cùng thất vọng chắc chắn không có lần thứ hai,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm xấu kinh khủng khui hàng muốn quăng luôn vậy đó,1,,,,,,,,,,,,,,,,,,,,,,,,
Trên ảnh nhìn giầy vải cứng. thực tế vải quá mềm rất dễ hỏng,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng đéo thể chấp nhận được . đéo giống hình ảnh gốc . hàng thì lỗi . làm ăn như con cặc,1,,,,,,,,,,,,,,,,,,,,,,,,
Không giống nhau.gọi thì bảo bên shop thì không cho xem.hủy đơn thì thương thằng shiper,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao hàng nhanh giao sai loại hàng có mùi khó chịu,1,,,,,,,,,,,,,,,,,,,,,,,,
"Giày đẹp, giá rẻ, tuyệt vời.",1,,,,,,,,,,,,,,,,,,,,,,,,
Hình đôi cổ cao giao hàng đôi cổ thấp,1,,,,,,,,,,,,,,,,,,,,,,,,
Đặt size 41 mà shop gửi size 42. làm ăn chán.vote 1 sao.,1,,,,,,,,,,,,,,,,,,,,,,,,
Vì không có xốp làm cho giầy có vết nhăn và vận chuyển từ Hà Nội về tới chỗ mình rất chậm,1,,,,,,,,,,,,,,,,,,,,,,,,
Giầy mang một lần đã hư chẳng giống như hình gì cả chỉ mua một lần không có lần thứ hai làm như thế mất uy tín quá,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm kém chất lượng quá đóng gói hàng quá tệ hại,1,,,,,,,,,,,,,,,,,,,,,,,,
"Phần đến giày bên trong quá cứng, lót thì mỏng. đi rất đau chân, lớp keo dán viền thì đi 1-2 ngày bị bong ở 1 vài chỗ, nói chung là mua giày khác rồi.",1,,,,,,,,,,,,,,,,,,,,,,,,
Chất lượng rất chán không giống bài đăng,1,,,,,,,,,,,,,,,,,,,,,,,,
"Giao thiếu hàng, hẹn lần này đến lần nọ. bỏ tiền mua hàng như đi xin",1,,,,,,,,,,,,,,,,,,,,,,,,
Gói hàng quá tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
Bảo đưa 1 đằng giao 1 nẻo. nói chung là thiếu trách nhiệm. shop vớ vẩn,1,,,,,,,,,,,,,,,,,,,,,,,,
"Đóng gói quá ẩu! chỉ dùng túi nilong xong quấn băng keo lại. miếng lót giày thì rồi ra ngoài, nhăn nheo không thể lót được. shop làm ăn không có tâm",1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng như cẹc không giống như hàng trên quảng cáo,1,,,,,,,,,,,,,,,,,,,,,,,,
Mua 3 ngày rách rồi.giày đi chả ra gì.chất lượng tồi tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
"Rất tệ, đặt màu xanh giao màu đỏ, đặt size 41 giao 42. tệ nhất mà tôi từng đặt hàng trên mạng",1,,,,,,,,,,,,,,,,,,,,,,,,
Hình ảnh khác nhau quá nhiều hình ảnh mang tính chất minh họa tăng sản phẩm,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng không đúng như quảng cáo cũng như yêu cầu,1,,,,,,,,,,,,,,,,,,,,,,,,
Shop làm ăn quá chán chọn màu đỏ đen shop chuyển mẹ màu ghi không giống hình ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
"Hình 1 kiểu giao hàng 1 kiểu , treo đầu dê bán thịt chó . shop làm ăn vớ vẩn .",1,,,,,,,,,,,,,,,,,,,,,,,,
"Đặt màu xám giao màu đỏ, sản phẩm form xấu, không giống hình quảng cáo.",1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm tệ lắm. mọi người không nên mua. mua rác chứ không phải mua giày.,1,,,,,,,,,,,,,,,,,,,,,,,,
Khá thất vọng về lỗi của shop.mặc dù chả đáng bao nhiêu đâu nhưng shop gửi cho 1 đôi lệch sao mà đeo 2 cái giày chỉ đeo được 1 chân,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng không giống trên ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao không đúng size hỏi thì shop trả lời như không.,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng bán không giống như quảng cáo khác về mẫu mã,1,,,,,,,,,,,,,,,,,,,,,,,,
Không giông hinh,1,,,,,,,,,,,,,,,,,,,,,,,,
Sai mẫu và đứt chỉ và trả hàng thì hủy hoàn tiền lại không shop làm ăn cắt cổ hả,1,,,,,,,,,,,,,,,,,,,,,,,,
Hhìn trên ảnh là góc đẹp nhưng thực ra là nhìn hơi tù với lại size giày hơi nhỏ so so với bảng size giày.nói chung là giày khác hình.,1,,,,,,,,,,,,,,,,,,,,,,,,
"Đặt đen xám 42 giao đen đỏ 43, giày mỏng, đường chỉ may bị lệch",1,,,,,,,,,,,,,,,,,,,,,,,,
Đúng là tiền nào của đấy. mua về chỉ biết vứt xó và không dùng được. size 39 mà mang vào như size 42,1,,,,,,,,,,,,,,,,,,,,,,,,
Nhanh hỏng cái chưa dây giày buộc 2 lần đứt chất lượng không như ảnh .,1,,,,,,,,,,,,,,,,,,,,,,,,
"Hàng chất lượng hơi kém , không được như hình ảnh đăng",1,,,,,,,,,,,,,,,,,,,,,,,,
Giao hàng không đúng đơn đặt!,1,,,,,,,,,,,,,,,,,,,,,,,,
Không như hình và size không chuẩn giày bị nhỏ hơn size bình thường,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng không giống ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
Như buồi á giày vừa xấu với là cách gói giày không cẩn thận,1,,,,,,,,,,,,,,,,,,,,,,,,
giày nhận không đúng như hình đế cứng đi đau chân,1,,,,,,,,,,,,,,,,,,,,,,,,
Tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
Không hài lòng,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm mỏng hơn mình mong đợi  thôi lần sau chừa,1,,,,,,,,,,,,,,,,,,,,,,,,
shipper thái độ nên cho 1 sao,1,,,,,,,,,,,,,,,,,,,,,,,,
"Sản phẩm quá tệ, đường chỉ may quá sơ sài",1,,,,,,,,,,,,,,,,,,,,,,,,
Quá xấu rất tồi tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
Mua đeo dc 1 hôm đã rách hết vải rồi,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm không hài lòng,1,,,,,,,,,,,,,,,,,,,,,,,,
Giày xấu như gì không dám đi mỏng dính,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm không đúng như mô tả không giống mẫu,1,,,,,,,,,,,,,,,,,,,,,,,,
Rẻ rách chứ giày con cạk gì,1,,,,,,,,,,,,,,,,,,,,,,,,
Không ra gì,1,,,,,,,,,,,,,,,,,,,,,,,,
"Không có hộp , sản phẩm móp méo",1,,,,,,,,,,,,,,,,,,,,,,,,
Giao hàng không đúng size,1,,,,,,,,,,,,,,,,,,,,,,,,
Như rẻ rách,1,,,,,,,,,,,,,,,,,,,,,,,,
Mùi nhựa nặc,1,,,,,,,,,,,,,,,,,,,,,,,,
Không hài cách đóng gói của shop,1,,,,,,,,,,,,,,,,,,,,,,,,
Kém,1,,,,,,,,,,,,,,,,,,,,,,,,
Không giống trong ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
Quá tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm kém,1,,,,,,,,,,,,,,,,,,,,,,,,
Khác xa trên mạng.,1,,,,,,,,,,,,,,,,,,,,,,,,
Chất lượng kém,1,,,,,,,,,,,,,,,,,,,,,,,,
Đặt màu đỏ giao màu xanh,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng khác với trên hình,1,,,,,,,,,,,,,,,,,,,,,,,,
Giao nhầm màu không đúng yêu cầu,1,,,,,,,,,,,,,,,,,,,,,,,,
Gàng fake đểu thực sự,1,,,,,,,,,,,,,,,,,,,,,,,,
Hàng mất porm không đẹp,1,,,,,,,,,,,,,,,,,,,,,,,,
Mua 1 màu gửi 1 màu,1,,,,,,,,,,,,,,,,,,,,,,,,
"Đóng gói rất tệ, hàng móp méo ",1,,,,,,,,,,,,,,,,,,,,,,,,
Đặt 41 chuyển 39,1,,,,,,,,,,,,,,,,,,,,,,,,
Giày không giống hình,1,,,,,,,,,,,,,,,,,,,,,,,,
Size 40 ra 39 chán,1,,,,,,,,,,,,,,,,,,,,,,,,
Hơi thất vọng xíu,1,,,,,,,,,,,,,,,,,,,,,,,,
Shop bán hàng như c,1,,,,,,,,,,,,,,,,,,,,,,,,
Như cái rẻ rách,1,,,,,,,,,,,,,,,,,,,,,,,,
Như lồn,1,,,,,,,,,,,,,,,,,,,,,,,,
Sản phẩn kém chất lượng,1,,,,,,,,,,,,,,,,,,,,,,,,
Đặt 43 thì giao 39,1,,,,,,,,,,,,,,,,,,,,,,,,
Như lồn,1,,,,,,,,,,,,,,,,,,,,,,,,
Hình ảnh chỉ mang tính chất nhận xu hướng thời trang nữ kiểu gì trời,1,,,,,,,,,,,,,,,,,,,,,,,,
"Quần không được xinh lắm, mọi người muốn mua quần tây thì nên lên tận nơi để mua nhé.",1,,,,,,,,,,,,,,,,,,,,,,,,
"Vải rất là ok, sờ mát tay, nhưng mình 44kg mà size S thì quá chật  nhắn tin nhờ shop hổ trợ đổi hàng mà không thấy phản hồi gì hết",1,,,,,,,,,,,,,,,,,,,,,,,,
Giao thiếu hàng thấy shop vừa online mà không thèm trả lời chán shop ghê,1,,,,,,,,,,,,,,,,,,,,,,,,
"Muốn ăn lại 200 xu thì 1☆ nhá shop. người ta có video, hình ảnh mà không liên quan.",1,"bạn ui, xu là do shope quản lý ạ, bên shop không được quyền về quản lý xu ạ. oan cho m quá  - lưu ý: để chọn size quần chuẩn các bạn hãy lựa chọn theo số đo vòng eo & vòng mông nhé! 🌟xm ngọc duy cam kết 💯 %🌟 + miễn phí đổi - trả hàng lỗi, nhầm mẫu và size do shop. + hỗ trợ đổi hàng, size, màu khi khách đặt nhầm. + thu hồi hàng - hoàn tiền khi khách nhận hàng không thích",,,,,,,,,,,,,,,,,,,,,,,
