khach_cmt,rating,shop_phan_hoi,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm bình thường,1,,,,,,,,,,,,,,,,,,,,,,,,
"quần không suông, dù ống thẳng. may lỗ nhăn quần",1,,,,,,,,,,,,,,,,,,,,,,,,
giặt bị phai màu ghê quá,1,,,,,,,,,,,,,,,,,,,,,,,,
như loz,1,,,,,,,,,,,,,,,,,,,,,,,,
xù lông ngay lần đầu giặt,1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm rộng không giống hình,1,,,,,,,,,,,,,,,,,,,,,,,,
quần như quần đàn ông,1,,,,,,,,,,,,,,,,,,,,,,,,
đặt size m gửi size l ,1,anh ơi! shop em gửi đúng theo đơn đặt hàng của anh rồi ạ . quần suông sọc đen sz l ạ. ,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
như lol đừng mua,1,,,,,,,,,,,,,,,,,,,,,,,,
nát vc,1,,,,,,,,,,,,,,,,,,,,,,,,
lúc tư vấn shop bảo nếu không vừa shop hỗ trợ trả. lúc nhận không vừa shop bắt trả ship. tư vấn sai mà bắt trả ship. 1 sao quá tệ,1,"dạ hàng bên shop giá ưu đãi tốt nhất rồi ạ, shop có hỗ trợ đổi size đổi mẫu cho khách, khách sẽ hỗ trợ phí ship cho shop. ",,,,,,,,,,,,,,,,,,,,,,,
"sản phẩm quá tệ, chủ shop không có tâm khi mình đặt 2 quần màu nâu sáng mà ship cho mình 2 cái quần như vậy, còn chất vải thì khỏi phải nói các bạn cân nhắc khi mua nhé - ảnh minh họa 100% chi tiết",1,,,,,,,,,,,,,,,,,,,,,,,,
"giao sản phẩm sai, đồ không  có size số, mặc không vừa người, trên đồ nhiều vết bẩn, cách làm việc này sẽ không bao giờ quay lại mua đồ lần 2  cho 1 sao để mọi người cẩn thận khi mua đồ thôi chứ mình chả rảnh hoàn đồ đâu vì chả đáng bao nhiêu tiền",1,,,,,,,,,,,,,,,,,,,,,,,,
"sản phẩm tuyệt vời,chất lượng như trong hình dành cho những bạn nào muốn bị chê cười như mình khi không để ý mà mặc luôn vào ",1,,,,,,,,,,,,,,,,,,,,,,,,
quần bị rách nhắn tin muốn đổi sang sản phẩm khác shop trả lời khâu lại giúp và thông cảm,1,,,,,,,,,,,,,,,,,,,,,,,,
"cao 1m7 nặng 58kg lựa theo size l cứ tưởng là rộng, không ngờ quần rất chật và bí, mỗi lần ngồi xuống ghế thì phần quần phía sau mông bị tuột xuống. đũng quần cực kì thấp, leo lên xe máy ngồi là nó bị chật và không thể ngồi thoải mái trên xe, nếu căng quá thì rách đáy, vải thì rất mỏng",1,,,,,,,,,,,,,,,,,,,,,,,,
vải này vải dù chứ có phải vải thun đâu vải khô cứng ngắc mềm mại cái gì bóng bóng mặc kì quá,1,,,,,,,,,,,,,,,,,,,,,,,,
không giống với hình mẫu. mình mua màu trắng kem mà giờ ra màu gì cũng không biết. chất vải thì ổn với giá tiền,1,,,,,,,,,,,,,,,,,,,,,,,,
"quần quá nhỏ , mình có 1m69 mà mặc xl không vừa phải nói là không mặc được luôn, không những không giống trong hình mà còn tệ hơn . quá thất vọng",1,,,,,,,,,,,,,,,,,,,,,,,,
"quần sứt chỉ tùm lum , rách nữa chứ , shop nên kiểm hàng kỹ trước khi đóng gói chứ , chân quần hơi chật chỉ cần 1 động tác nhẹ là sổ chỉ ngay",1,,,,,,,,,,,,,,,,,,,,,,,,
đặt màu đen giao màu xám . đặt 2 quần size l .có 1 cái quá dài. chất vải không như quảng cáo . đường may lỏng lẻo.,1,,,,,,,,,,,,,,,,,,,,,,,,
quần hoàn toàn khác với ảnh quảng cáo,1,,,,,,,,,,,,,,,,,,,,,,,,
"giao sai màu, mình không vấn đề gì, nhưng mà mặc được 2 tiếng thì toạc  đũng quần, quê không tả được , đọc được dòng này mua không tuỳ các bạn ",1,,,,,,,,,,,,,,,,,,,,,,,,
rách lỗ sương sương thôi chứ ai dám mặc ra đường rất chi là không hài lòng,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng không giống ảnh. treo đầu dê bán thịt chó. mọi người cân nhắc,1,,,,,,,,,,,,,,,,,,,,,,,,
"giao hàng nhanh. shop đóng gói đúng mẫu đủ số lượng, cẩn thận chắc chắn. sản phẩm kém. size không chuẩn. 44kg lấy size s mà vừa rộng vừa dài. vải mỏng còn bóng bóng như nilong",1,,,,,,,,,,,,,,,,,,,,,,,,
vải kém chất lượng mới mặc đã rách đũng quần nói chung là không nên mua ,1,,,,,,,,,,,,,,,,,,,,,,,,
"quần như cái bao tải, biết là tiền nào của đấy nhưng chán thật sự. chất xấu, khác ảnh hoàn toàn. không bao giờ quay lại",1,,,,,,,,,,,,,,,,,,,,,,,,
mua về nghĩ ổn ai ngờ nay lôi ra mặc được đúng 1 tí thì toạc ra như ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
mới lôi ra mặc thử đã rách quần thì rộng mà mặc vô cựa không nổi  thất vọng về sản phẩm 1 sao ,1,,,,,,,,,,,,,,,,,,,,,,,,
đặt 2 quần mà shop giao có 1 quần. ống quần bị ẩm mốc,1,,,,,,,,,,,,,,,,,,,,,,,,
vải khá ổn nhưng lại bị rách như vậy. đường chỉ may ẩu. quần be màu đậm hơn trên ảnh shop đăng.,1,,,,,,,,,,,,,,,,,,,,,,,,
quần rách hơi to . nên kiểm tra hàng kỹ trước khi giao cho khách nhé.,1,,,,,,,,,,,,,,,,,,,,,,,,
"quá thất vọng về sản phẩm , khi nhận hàng thì sản phẩm bị rách chỉ may không chắc",1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm của shop đang còn nhiều chỉ thừa mình chọn size xl mà hơi nhỏ ,1,,,,,,,,,,,,,,,,,,,,,,,,
"sản phẩm không giống trên hình,",1,,,,,,,,,,,,,,,,,,,,,,,,
"quần mới mua đã rách rồi, cạch mặt bạn shop này",1,,,,,,,,,,,,,,,,,,,,,,,,
kém,1,,,,,,,,,,,,,,,,,,,,,,,,
tôi đã ngu xin mọi người đừng ngu theo.,1,,,,,,,,,,,,,,,,,,,,,,,,
vải quá đểu. không giống ảnh. không mặc được,1,,,,,,,,,,,,,,,,,,,,,,,,
may lỗi nhiều nhắn tin shop không trả lời,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng bị rách,1,,,,,,,,,,,,,,,,,,,,,,,,
má cái quần vừa mới mặc vào đã toặc,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng xấu kém chất lượng chỉ thừa rất nhiều và còn rách 2-3 chỗ to nữa mọi người không nên mua ạ ( có hình ảnh chứng minh),1,,,,,,,,,,,,,,,,,,,,,,,,
hàng không tốt không mặc vừa muốn trả lại hàng nhưng thấy ngại nên thôi coi như mình ủng hộ shop một ít,1,,,,,,,,,,,,,,,,,,,,,,,,
đường may xấu chỉ bung vãi chất lượng kém do mình làm công ty may nếu nhìn cái quần như này thì chấm 5 trên 10,1,,,,,,,,,,,,,,,,,,,,,,,,
"chất lượng kém . vải như cái quần mưa , xé nhẹ cũng có thể rách . phù hợp với từng người",1,,,,,,,,,,,,,,,,,,,,,,,,
vải thì mỏng chỉ thừa nhiều không như trên hình ảnh quần nhìn bóng bóng nói chung là bỏ tiền ra để mua về cái giẻ lau chân ,1,,,,,,,,,,,,,,,,,,,,,,,,
"vải mỏng , nhiều chỉ thừa mọi người nên cân nhắc trước khi mua",1,,,,,,,,,,,,,,,,,,,,,,,,
"hàng không như trong hình, mỏng . lần trước thì giao áo nhầm màu với áo vải mỏng, shop lâu năm mà làm ăn chán",1,,,,,,,,,,,,,,,,,,,,,,,,
"nhiều chỉ thừa, ống to ống nhỏ, háng thì bó đúm lại bước đi không nổi",1,,,,,,,,,,,,,,,,,,,,,,,,
"quần rất dởm. mọi người mua nên cẩn thận, mình mua về mặc chưa được 1 ngày được bị bục rách ra. shop bảo chuyển cho 20k để sửa nhưng không thấy trả lời. tệ. đừng ham rẻ.",1,,,,,,,,,,,,,,,,,,,,,,,,
"mới mặc thử, vải dễ bung, đũng quần chật, không bước được.",1,,,,,,,,,,,,,,,,,,,,,,,,
hàng quá tệ so với giá. khuyên anh em không nên mua quần như vậy mua về chỉ để làm dẻ lau thôi,1,,,,,,,,,,,,,,,,,,,,,,,,
vải kém chất lượng nhìn không giống ảnh chụp thất vọng,1,,,,,,,,,,,,,,,,,,,,,,,,
"quần không có size gì, mua size s mà rộng như cái thùng phi",1,,,,,,,,,,,,,,,,,,,,,,,,
giao hàng lâu vải thì không được dày dặn giật cái là bung chỉ thừa rất nhiều,1,,,,,,,,,,,,,,,,,,,,,,,,
"quần thì rách , chỉ thừa nhiều vải thì mỏng ,giao hàng thì lâu nhắn tin đổi trả 3 ngày rep làm ăn vậy mà được à",1,,,,,,,,,,,,,,,,,,,,,,,,
"shop như cứt mua size bự nhất giao cái quần như con nít , shop nghỉ mẹ đi khỏi bán cứt gì",1,,,,,,,,,,,,,,,,,,,,,,,,
"quần ống rộng thùng thình , vải quá đểu vải dù mặc rất nóng .không đáng mua , form thì xấu tệ",1,,,,,,,,,,,,,,,,,,,,,,,,
tôi muốn. trả hàng hoàn tiền,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng không như mong đợi,1,,,,,,,,,,,,,,,,,,,,,,,,
dởm,1,,,,,,,,,,,,,,,,,,,,,,,,
quần quá xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
mới mua mà chỉ các thứ đã hỏng,1,,,,,,,,,,,,,,,,,,,,,,,,
may không bền bị rách,1,,,,,,,,,,,,,,,,,,,,,,,,
mua size đúng nhưng mua về lại không vừa,1,,,,,,,,,,,,,,,,,,,,,,,,
siêu đểu,1,,,,,,,,,,,,,,,,,,,,,,,,
rất tệ nó khác xa,1,,,,,,,,,,,,,,,,,,,,,,,,
giao sai sản phẩm,1,,,,,,,,,,,,,,,,,,,,,,,,
vải xấu như phim 18 cộng,1,,,,,,,,,,,,,,,,,,,,,,,,
quần may rách tùm lum ship hàng chậm,1,,,,,,,,,,,,,,,,,,,,,,,,
size xl mà quá nhỏ,1,,,,,,,,,,,,,,,,,,,,,,,,
tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
không nên mua nha mọi người chất lượng không tốt,1,,,,,,,,,,,,,,,,,,,,,,,,
quần giao không giống ảnh nha mọi người quá tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm quá kém,1,,,,,,,,,,,,,,,,,,,,,,,,
xấu thậm tệ. xấu kinh khủng ,1,,,,,,,,,,,,,,,,,,,,,,,,
không mặc được luôn,1,,,,,,,,,,,,,,,,,,,,,,,,
"xấu,không đẹp,chọn màu nâu sáng nhận được màu đen",1,,,,,,,,,,,,,,,,,,,,,,,,
gửi sai màu. không giống hình.chịu,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng nhìn khác hình anh em mua về phí tiền,1,,,,,,,,,,,,,,,,,,,,,,,,
sai màu,1,,,,,,,,,,,,,,,,,,,,,,,,
"vải tệ, form xấu không đáng mua",1,,,,,,,,,,,,,,,,,,,,,,,,
quần không giống ảnh cho lắm.,1,,,,,,,,,,,,,,,,,,,,,,,,
"hàng xấu, tưởng chất quần đẹp mới mua ai ngờ chất quần còn chưa bằng quần thể dục , lúc hoàn về thì shop gọi điện nói chuyện nghe rất ngứa tai, khuyên mọi người không nên mua hàng của shop này",1,,,,,,,,,,,,,,,,,,,,,,,,
vải xấu lắm anh em à đừng mua nha mua shop khác quần xịn hơn mua cho em cái quần này phí,1,,,,,,,,,,,,,,,,,,,,,,,,
"anh em để ý nhé quần này đùi to không mang được đâu kêu đổi nhưng không cho đổi, lộ vải ra , size xl mà ôm vãi ạ .shop lừa đảo lắm ạ , đóng gói sản phẩm thô sơ, mang quần rất là ngứa. sản phẩm không an toàn ",1,,,,,,,,,,,,,,,,,,,,,,,,
"mình mua 2 cái mà chất liệu hoàn toàn khác nhau. cái trắng thì dày dặn, mịn cái đen thì chán chả muốn nói, vải thì thô đã vậy còn mỏng kinh khủng. mọi người chịu khó bỏ thêm chút tiền mua cái khác nhé. vấn đề lớn nhất là lơ tin nhắn khách. mình nhắn 2 hôm chả thèm rep. rất bất lịch sự.nói chung là không nên mua nhé ",1,,,,,,,,,,,,,,,,,,,,,,,,
nhắn tin thì shop không trả lời hàng giao thì bị rách ,1,,,,,,,,,,,,,,,,,,,,,,,,
"quần như cứt ,không nên mua , nhìn hình tưởng đẹp lắm ai ngờ ra ngoài xấu vãi ra",1,,,,,,,,,,,,,,,,,,,,,,,,
"quần còn khá nhiều chỉ thừa. ngoài ra còn có vết bẩn, vết bàn chân thì giặt được nhưng vết đen thì không. đặc biệt là thái độ nhân viên rất kém  cân nhắc khi mua",1,,,,,,,,,,,,,,,,,,,,,,,,
mặc dù đã hỏi tư vấn bên shop nhưng hàng nhận lại mặc không vừa.,1,,,,,,,,,,,,,,,,,,,,,,,,
"vải thô, ống quần lỗi, bên dài bên ngắn ảo thật, nhiều chỉ thừa",1,,,,,,,,,,,,,,,,,,,,,,,,
"chất lượng tệ quá , hàng quá mỏng và đắt nữa , được mỗi anh shipper thân thiện",1,,,,,,,,,,,,,,,,,,,,,,,,
mua size người lớn 75kg ship cho cái bé tí ngắn củn,1,,,,,,,,,,,,,,,,,,,,,,,,
quần đểu không có size hàng size đặt size xl mà về bé tí,1,,,,,,,,,,,,,,,,,,,,,,,,
không nên mua  rồi lúc hàng về đừng bảo tôi không nói trước,1,,,,,,,,,,,,,,,,,,,,,,,,
shop gửi sai size liên hệ đổi trả 1 đổi 1 không được shop lừa đảo,1,ý thức con người hơi kém cao có m67 chọn size xl không vừa xong shop đồng ý đổi bảo trả hàng hoàn tiền thì không chịu đòi shop gửi cho quần khác ở đâu ra vừa ăn cắp vừa la làng vậy ạ,,,,,,,,,,,,,,,,,,,,,,,
hàng không giống trên hình chất liệu vải và thiết kế quần không giống hình,1,không biết thẩm mỹ của bạn làm sao chứ quần mình bán như vậy bạn kêu không đúng hình thì mình cũng chịu luôn đấy,,,,,,,,,,,,,,,,,,,,,,,
quần mỏng,1,,,,,,,,,,,,,,,,,,,,,,,,
đồ không giống trong hình,1,,,,,,,,,,,,,,,,,,,,,,,,
khác trong hình chỉ dư nói chung mua tiếc tiền,1,,,,,,,,,,,,,,,,,,,,,,,,
buồn,1,,,,,,,,,,,,,,,,,,,,,,,,
không,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng khác ảnh,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng chất lượng kém còn bị rách nữa  quần ngắn,1,,,,,,,,,,,,,,,,,,,,,,,,
chất lượng như cứt form thì sai,1,,,,,,,,,,,,,,,,,,,,,,,,
chỉ thừa nhiều và túi may cực xấu ạ,1,,,,,,,,,,,,,,,,,,,,,,,,
chất lượng quá kém,1,,,,,,,,,,,,,,,,,,,,,,,,
đường may xấu lắm vải không dày đâu,1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm rất nhiều chỉ thừa chất lượng vải ổn,1,,,,,,,,,,,,,,,,,,,,,,,,
quần mặt nhìn thấy cả quần sịp,1,,,,,,,,,,,,,,,,,,,,,,,,
đặt size xl gửi cho cái quần bé tí,1,"quần size xl 80kg vẫn mặc ok đó ạ, bạn chú ý đt shop gọi điện hoàn tiền cho bạn nhé chứ shop có bắt bạn mua đâu mà",,,,,,,,,,,,,,,,,,,,,,,
như cứt ,1,,,,,,,,,,,,,,,,,,,,,,,,
quá tệ quần quá xấu khác quá khác,1,,,,,,,,,,,,,,,,,,,,,,,,
"giao sai màu , giao lâu",1,"ơ thế bạn đặt màu trắng thì shop chả giao màu trắng ạ, shop có liên hệ để đổi màu đen cho bạn mà bạn có chịu nghe đâu ",,,,,,,,,,,,,,,,,,,,,,,
không như hình chụp,1,,,,,,,,,,,,,,,,,,,,,,,,
"vải co giãn , form quần khá bảnh ",1,,,,,,,,,,,,,,,,,,,,,,,,
hàng chán lắm nha mọi người,1,mens style&clothings vô cùng xin lỗi bạn về sự cố này. chúng tôi sẽ sớm liên hệ để trao đổi kĩ hơn về vấn đề và hỗ trợ đổi hàng hoặc hoàn tiền cho bạn sớm nhất nhé. bạn vui lòng kiểm tra tin nhắn giúp mình! mong bạn thông cảm cho sự cố không mong muốn này và vẫn tiếp tục ủng hộ shop nhé. chúng tôi luôn sẵn sàng tiếp nhận phản hồi hồi về các vấn đề từ phía khách hàng yêu quý. cảm ơn bạn rất nhiều!,,,,,,,,,,,,,,,,,,,,,,,
"không giống hình, 2 ống quần rách mà trên hình không có, còn túi quần trái thì bị rách, không xứng đáng",1,,,,,,,,,,,,,,,,,,,,,,,,
"quần form rất xấu, mặc vô nhìn quá khủng khiếp, không đáng để mua, quá tệ từ chất vải, đường chỉ may đến form quần mong mọi người đừng bị lừa thân gửi",1,,,,,,,,,,,,,,,,,,,,,,,,
"sản phẩm rất oke, 5 sao cho sản phẩm, 1 sao cho shiper, thái độ quá khó chịu, lần đầu gặp shiper như vậy",1,,,,,,,,,,,,,,,,,,,,,,,,
mua quần và áo của shop dịch nên 2 tháng mới nhận được hàng. quần thì cũng tạm mà áo thì không giống hình nên gửi trả. do dịch nên mãi mới gửi được. lâu quá shoppe lại trả cho người bán. hàng thì gửi trả lại rồi shop cũng không hỗ trợ hay giải quyết gì  cho không cả. nhắn tin shop cũng không rep. thôi thì coi như mất.,1,,,,,,,,,,,,,,,,,,,,,,,,
sản phẩm không như hình vải cứng ngắc màu thì không phải đen mà như kiểu màu vải của đồ người già mặt chắc chắn không động tới rồi phí 200k ,1,,,,,,,,,,,,,,,,,,,,,,,,
quần size xl cao 1m79 nặng 80kg mà không nhét nổi 2 cái chân vô nhắn tin shop không trả lời? mặc dù đang online cũng may người giao hàng thân thiện ,1,,,,,,,,,,,,,,,,,,,,,,,,
"thực sự chán cái cách làm việc, tư vấn và phục vụ khách hàng, tư vấn thì báo sai số đo shop bảo size xl dài 105cm mà thực chất về mình đo có 95,96cm mặc chưa tới mắt cá chân, mình cao m85 nặng 77kg mặc gần như quần bó, may là có co giãn 1 tí. và quần khá nhiều chỉ thừa",1,,,,,,,,,,,,,,,,,,,,,,,,
trước khi ship bảo shop đổi size. shop oke rồi. hôm sau hỏi lại thì không trả lời và cuối cùng ship cho quả quần khổng lồ ,1,,,,,,,,,,,,,,,,,,,,,,,,
"sản phẩm cũng được nhưng cái cách hành xử với khách thì khó chịu vl, giao nhầm thì một phần không nói, đằng này giao nhầm xong không có một câu xin lỗi, thêm tự mình phải chịu tiền ship, mua hàng lần đầu cũng như lần cuối ",1,,,,,,,,,,,,,,,,,,,,,,,,
đặt quần size l mà giao size xl . mình sợ shop giao nhầm nên đã ghi chú rất rõ ràng . đặt về rồi vứt . rất là bực mình và tốn thời gian . ,1,,,,,,,,,,,,,,,,,,,,,,,,
chán muốn đổi quần mà nhắn tin shop không trả lời  dịch vụ như cứt,1,,,,,,,,,,,,,,,,,,,,,,,,
đặt size m giao size l. sẽ không ghé lần 2,1,,,,,,,,,,,,,,,,,,,,,,,,
"thái độ phục vụ khách rất tệ, cố tình làm khó để không cho đổi hàng nếu không vừa, khi chưa mua thì đồng ý cho đổi các kiểu. Các bạn né bọn này ra nhé. chắc bị ăn chửi với đánh giá 1 sao quen rồi ",1,,,,,,,,,,,,,,,,,,,,,,,,
"đặt size l quần đen đẹp nhưng đặt sang quần trắng bị chật, dáng không đẹp",1,,,,,,,,,,,,,,,,,,,,,,,,
"đổi size quần, thì giao cái áo nike thể thao, liên hệ thì không rep, gọi điện thì không nói",1,,,,,,,,,,,,,,,,,,,,,,,,
"mỗi lần lại chất vải khác nhau, lần 1 mua thì co dãn , vải mềm, lần này mua thì vải sần, thô, không co dãn",1,,,,,,,,,,,,,,,,,,,,,,,,
nếu như bọn mày chọn mua đồ bên shop này thì bọn mày ngu ,1,,,,,,,,,,,,,,,,,,,,,,,,
shop giao hàng nhanh nhưng khi muốn đổi trả hoặc đổi hàng thì biến mất không để lại 1 tin nhắn làm mình phải cho cái quần đó đi,1,,,,,,,,,,,,,,,,,,,,,,,,
shiper gọi ầm ĩ trước nhà mà mẹ đang ở nhà nên cho 1 sao. nhưng mà quần đẹp lắm,1,,,,,,,,,,,,,,,,,,,,,,,,
quần mỏng nhận về rất bẩn nhắn tin với shop thì không trả lời nói chung sản phẩm không tốt mọi người nên cân nhắc trước khi mua mới mua về khuy quần rơi luôn mọi người không nên mua mẫu quần này,1,,,,,,,,,,,,,,,,,,,,,,,,
shop tư vấn cho mình size l rộng vcl  giờ mua về vứt xó tủ thôi,1,,,,,,,,,,,,,,,,,,,,,,,,
mình đã mua nhầm 1 cái size m nhưng thấy hàng ok nên mua thêm 1 cái l tưởng nó về vừa vặn không ngờ nó lại chả khác gì cái mền,1,,,,,,,,,,,,,,,,,,,,,,,,
"quá tệ, cho shop số đo đầy đủ, tư vấn xl mình mua 2xl về vẫn bị chật với ngắn nhắn tin không thèm trả lời  thử hỏi quần ống rộng mà ngắn trên mắt cá chân thì vứt luôn chứ mang cái gì  làm ăn chán thế không biết",1,cảm ơn bạn đã lựa chọn sản phẩm của shop ạ! shop sẽ luôn tạo ra những sản phẩm đẹp độc lạ để luôn được đồng hành và giúp bạn thoải mái và tự tin hơn ạ ^,,,,,,,,,,,,,,,,,,,,,,,
quần đen với quần trắng cùng size nhưng khác số đo,1,,,,,,,,,,,,,,,,,,,,,,,,
haiz,1,,,,,,,,,,,,,,,,,,,,,,,,
gớm,1,,,,,,,,,,,,,,,,,,,,,,,,
xấu,1,,,,,,,,,,,,,,,,,,,,,,,,
quần xấu shop tư vấn chán luôn không vừa,1,,,,,,,,,,,,,,,,,,,,,,,,
em,1,,,,,,,,,,,,,,,,,,,,,,,,
 giao sai hàng ,1,,,,,,,,,,,,,,,,,,,,,,,,
không hài lòng,1,,,,,,,,,,,,,,,,,,,,,,,,
giao sai hàng liên hệ shop thì mãi không thấy shop trả lời,1,,,,,,,,,,,,,,,,,,,,,,,,
gửi sai mẫu không cho kiểm tra hàng đóng gói chán tóm lại là hàng không nên mua,1,,,,,,,,,,,,,,,,,,,,,,,,
quần thiếu cúc giao hàng lâu không hài lòng cho lắm,1,b liên hệ lại shop đổi sản phẩm mới cho b nhé,,,,,,,,,,,,,,,,,,,,,,,
quần quá mỏng so với giá tiền với giá đó mua nên mua cái khác nha mọi người,1,,,,,,,,,,,,,,,,,,,,,,,,
giao sai mẫu màu quần,1,,,,,,,,,,,,,,,,,,,,,,,,
quần vải mỏng giặt quần lần đã bạc hết màu,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng hơi đểu,1,,,,,,,,,,,,,,,,,,,,,,,,
"vải quá mỏng , mặc được 1 tuần chắc bung hết chỉ",1,,,,,,,,,,,,,,,,,,,,,,,,
vải như vải thun,1,,,,,,,,,,,,,,,,,,,,,,,,
hàng lỗi,1,người bán cùng mặt hàng cạnh tranh không lành mạnh cố tình đặt rồi chê phá shop,,,,,,,,,,,,,,,,,,,,,,,
tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
quần không giống trong ảnh nói chung chất lượng sản phẩm không tốt,1,,,,,,,,,,,,,,,,,,,,,,,,
quần giặt 1 lần mất form mặc chán vl,1,,,,,,,,,,,,,,,,,,,,,,,,
tệ,1,,,,,,,,,,,,,,,,,,,,,,,,
đặt màu đen lại ra màu xanh rêu,1,,,,,,,,,,,,,,,,,,,,,,,,
làm ăn không uy tín,1,,,,,,,,,,,,,,,,,,,,,,,,
"hàng thì đẹp size l size m to bằng nhau, đặt màu đen thì ship 1 đen 1 xanh đen định trả hàng mà mất công chờ nên thôi ",1,"rất xin lỗi về trường hợp của bạn, do đơn hàng nhiều nên đóng gói bị nhầm, shop có hỗ trợ đổi trả bạn liên hệ để được tư vấn nha!",,,,,,,,,,,,,,,,,,,,,,,
"hỗ trợ không kém, 1 phần lỗi do mình đặt hàng về không ưng ý màu quần, muốn đổi lại màu khác nhưng mình gửi hàng về cho shop từ 9 tháng 4 đến nay không nhận được quần hoàn trả. chịu ship đi ship về, coi như xui không chụp cái bọc hàng lúc đem gửi để shop kêu là hàng lẫn lộn tùm lum la thì mình cũng chịu. ",1,"shop rất xin lỗi vì sơ xuất này ạ, do dịch bệnh nên shop không check được hết tin nhắn, mong bạn thông cảm, shop sẽ gửi tặng bạn quà vào đơn sau nha ạ",,,,,,,,,,,,,,,,,,,,,,,
"size l ghi chiều cao dưới 1m75 mà thằng em tôi có m61-m63 mà quần ngắn cụt ngủn trên mắt cá chân cả 20-30cm, chất thì bình thường, có thể nói là mỏng. nói chung là quá chán, mọi người mua để ý cẩn thận size nhé ",1,wado -thời trang unisex vô cùng xin lỗi vì trải nghiệm không tốt lần này của bạn ạ. chúng tôi rất xin lỗi vì sự sơ suất đã khiến bạn không hài lòng. chúng tôi sẽ nhanh chóng hỗ trợ đổi hàng hoặc hoàn tiền cho bạn. mong bạn check tin của bên shop sớm để trao đổi cụ thể hơn về vấn đề. cảm ơn bạn đã tin tưởng cũng như lựa chọn các sản phẩm của shop!,,,,,,,,,,,,,,,,,,,,,,,
