khach_cmt,rating
"đặt 3 cái shop giao 2 cái, nhắn tin phản hồi thì shop nói giao đủ, nhắn thêm thì shop không thèm trả lời, shop còn ghi chú ở ngoài hộp là 2 cái thì sao bảo mình kiểm tra lại xem có nhầm không. cái quần không đáng bao nhiêu nhưng không hài lòng về cách cư xử của shop!",1
chất lượng quá chán vừa mua mặc phát đã nứt như này rồi,1
"quần rách, màu túi shop ưu ái cho tận 3 loại vải trông kinh vãi, thất vọng thật sự. cảm ơn shop đã gửi cho mình cái rẻ lau nhà",1
"không hiểu quần có chữ này thì mặc như thêd nào luôn, lại còn mua tặng, chịu luôn ạ.",1
quần rách như vậy mà giao cho khách. nhắn tin không trả lời.,1
"2 cái quần lỗi quá nhiều. đường chỉ bung tùm lum,dây quần thì cột lại mới ghê",1
chưa gì đã đổ lông rất nhiều kém chất lượng rất không hài lòng với sản phẩm,1
năm ngoái mua tầm 5 cái của shop mặc đến giờ vẫn ngon. năm nay mua sờ chất liệu không ngon. mặc được 1 lần đã bị thế này rồi. mong shop xem lại nguồn nhập của năm trước nhé,1
"giao hàng bị xước, vải mỏng nếu không bị lỗi thì hợp giá tiền. nói chung là không hài lòng lắm",1
"quần mỏng tang, chất bèo nhèo, 79k 1 chiếc giẻ lau nhà xứng đáng. mọi người đừng nên mua ạ lạy shop bán cho em lạy 1 vái",1
thái độ shiper rất kém nói chuyện thì thái độ tự ý hủy đơn,1
"trông nó chán, 1 lần và không bao giờ mua lại",1
"hàng vậy không hiểu sao nhiều người rate 5 sao vậy, quần thì mỏng dính như nhìn xuyên qua được vậy",1
"vải mỏng dính, mặc được 1 lần thì bục chỉ, đúng của rẻ là của ôi",1
túi quần 2 bên không được sâu và không có khoá kéo 2 bên chỉ có túi sau là có khoá kéo.,1
sản phẩm không như hình. nhắn tin không trả lời. làm ăn không uy tín . 1 sao cho chừa,1
rất rởm đừng nhìn đánh giá hay bị lừa mỏng dáng form không giống hình,1
"quần thì mỏng chân quần sao không có chun bó vô, thôi giá nào thì chất đó sau chế quần đùi mặc ok hơn",1
"đặt hai quần xl mà nhận được một cái l,shop không kiểm tra kỹ hàng",1
"quần chán đéo chịu được , rách hết . như kiểu bán đồ cũ cho người ta í . lần cuối bố mày mua",1
"quần rộng quá ,nhìn ở ngoài xấu hơn trong hình rất thất vọng",1
"vải chạy chỉ, lỗi nhiều",1
quần mỏng không bằng shop khác với cùng giá tiền,1
shop ghi là 50-60kg mua size l nhưng mình 56kg mua size l quá rộng không mặc vừa,1
hàng kém chất lượng về đường kim chỉ tối lấy hàng sáng hôm sau mặc được 1 buổi sáng thấy bục lúc nào không biết quần quá chán đường kim chỉ kém,1
hàng sale có khác.đưa sản phẩm của hàng chợ vào để sale cho khách hàng .mặc hàng quá lệ 1 sao cho shop làm ăn không có tâm,1
sản phẩm bị rách đũng lỗi bề mặt vải,1
"quần thực sự đáng thất vọng, 87k mà chả khác gì cái giẻ lau. chừa không bao giờ mua ở đây nữa.",1
"hàng sale mà đưa hàng chợ vào bán, làm ăn có tâm chúc",1
ok shop,1
sản phẩm thì may lỗi như vậy thì trả lời lâu cho 1 sao,1
cảm ơn shop đã gửi cho mình cái rẻ lau nhà,1
mỏng . quần này sẽ nên mua và mặc 1 lần thôi nhé .,1
"đặt 1 sọc trắng 1 sọc đen mà ship 2 cái sọc đen , shop làm ăn cẩu thả",1
quần không giống như hình. mua quần bo mà không thấy bo được tí nào,1
hàng như cứt. giá không đáng là bao nhưng chất quá khác so với hình. không đáng mua,1
"quần size m bé tí,k mặc được ạ, chồng e cao m 68, như quần nữ",1
gần 80k/c nên đừng mong đợi gì nhiều về chất nhé mọi người. 1. giao hơn 1 tuần mới nhận được. 2. nhầm size 3. nhầm mẫu luôn mua cho chồng về mình mặc vừa  mình 47kg sẽ không mua lại.,1
"bán đéo có tâm , mất tiền mà thấy không ưng ,nhắn tin thì thích rep không thích thôi , không muốn hoàn hàng",1
"đơn đầu tiên shop giao nhầm size, mình vẫn hỗ trợ lấy sản phẩm giúp shop, và mình đặt đơn thứ 2 để được giao đúng size, shop bảo sẽ trả 15k trong kiện hàng nhưng rốt cuộc không có, thế là mình bị lừa chập 2. đặt lòng tin sai nơi nên bị lừa 2 lần, quá buồn cho một cuộc tình.",1
vải không đẹp mỏng . trong hình là chun thun dưới chân ống quần. này nhận về chun vải luôn xỏ chân không vào phải đi cắt luôn mới mặc được,1
"quần như shit anh em ạ. vải thô cứng, 3 vạch in nổi giặt 3 bữa nát và đặc biệt là không có tí co giãn nào cái ống cứng đơ không cho được cái bàn chân qua luôn bỏ làm rẻ lau luôn rồi",1
giao hàng thì tệ đặt size l thì giao cho xl shop này quá tệ,1
mặc không được thoải mái. quần nam mà mặc như con gái. xỏ chân mãi mới lọt,1
"mặc đúng 1 ngày bung chỉ tè le, rách lồi cái túi luôn, quá tệ",1
"vải chất không co dãn tốt, ống quần quá hẹp, chất lượng thấp, không đúng như quảng cáo",1
tôi huỷ đơn nhưng vẫn gửi hàng! hàng kém,1
hàng đẹp ok,1
chán,1
ghi rõ 2 quần khác nhaurồimà lại mang 2 cái giống nhau shop làm ăn chán,1
"chất lượng phù hợp với giá, nhưng đặt 2 cái cỡ 2xl, thì shop lại gửi 1 cái 2xl, 1 cái cỡ m, nản",1
đặt xl giao l chật quá,1
quần mới mà đã bị lỗi,1
mặc được 1 lần đã thế này rồi. chán,1
quần đặt size l lại ship size 2xl,1
quần lỗi 1 sao,1
quần không như ảnh đề nghị shop làm ăn hẳn hoi,1
chất lượng vải kém xấu,1
hàng lỗi chỉ trả không được,1
sản phẩm quá tồi,1
vải chán,1
không giống trong ảnh,1
quá tệ,1
vải kém chất lượng,1
quần đểu vl . mặc được hôm,1
đặt 2xl thì lại giao m,1
vãi tốt nhưng đường khâu không tốt vãi dễ bung,1
quần mỏng lắm không giống trên hình ảnh,1
tệ không đáng đâu anh em,1
hàng kém,1
quần form chán,1
làm ăn chán thật,1
"2 túi không bằng nhau, chỉ thừa rất nhiều,",1
quần lỗi chán kinh,1
kém,1
đặt size l giao xl rộng như cái thùng phi,1
ngồi cái rách ngay và luôn,1
1 sao vì cái thái độ của shiper. report hộ,1
chán cực,1
không nên mua,1
vì quần mặc tí đã thấy mục chỉ,1
"túi quần bị rách, chán shop.",1
dưới trung bình,1
quần mỏng,1
quần quá chật đút chân vào rất khó vải dễ xù,1
hàng như cứt ý vừa ngắn vừa to đm shop,1
chất lượng sản phẩm này kém,1
không giống như hình,1
sản phẩm không đúng. chọn 1 loại gửi 1 loại.,1
hàng lỗi,1
vừa mặc 1 lần bục luôn !,1
vải rất đẹp chất liệu rất tồi !,1
quần như cứt,1
chất liệu không tốt cho lắm,1
"sau 2 lần sử dụng đã xổ lông, vải như quần thể dục , không xứng với giá tiền quá tệ, chất lượng quá kém",1
"hàng thì giao lâu , chỉ thừa lung tung , chưa làm gì đã đất mất cái chun",1
quần mỏng lắm nó cứ thùng thình như nào ấy với lại dây rút không kéo được!,1
quần rách tele  quần thủng tứ tung tốn 197k  tao biết không đổi được rồi quần như chó gặm,1
"quần chán lắm, hồ rất cứng á.size nó sai nên bị chật, vừa sờ vào cái cúc cái bung ra đâm vào tay luôn.shop gửi hàng không check kỹ gì cả, làm không có tâm. đọc lại đánh giá thì chắc chỉ có những khách đánh 1 sao là thật, vài cái đầu là đánh giá quần còn lại sản phẩm dã man.shop ảo, shopee tiếp tay cho shop ảo",1
"chưa bao giờ đánh giá 1 sao trên shope nhưng lần này phải đánh giá cho các bạn mua sau không bị lừa vì lượt bán với đánh giá ảo lòi của shop này. quần mỏng tanh, cứng, quá nhiều chỉ thừa và đường may cẩu thả. định trả hàng nhưng lại không được nên hi sinh 175k để cho các bạn khác biết mà tránh. cạch mặt cái shop này.",1
đặt quần size size 32 shop giao quần 27 gọi điện nhiều cuộc thì mới nhắc máy bảo ứ đổi size. nhắn tin bảo đổi size thì không thấy trả lời lại hoàn hàng thì không cho hoàn thật thất vọng. vào đọc kỹ đánh giá thấy 14k đánh giá thì là ảo tưởng uy tín. lượt bán hơn 30k thì tăng ảo. vải quần thì khá là mỏng,1
rất nhiều chỉ thừa cả trong lẫn ngoài quần thì bị thủng một lỗ quần mua để tặng mà shop làm ăn chán,1
đặt size 30 mà bé như 27 đứa em 53kg mặc không vừa. quần cứng mặc dát khó chịu lắm. nhắn tin cho shop đổi trả thì 3 ngày không ai nhắn tin lại shop cứ bơ đi lúc hỏi mua thì nhắn tin rất nhiệt tình. xem lại đánh giá 5 sao đến trang thứ 10 thì toàn đánh giá ảo không có bình luận và sản phẩm không liên quan đến ảnh. đánh giá rất ảo,1
"bảo quần ống rộng mà lúc về thành cái ống này cũng không hiểu  mọi người muốn mua ống rộng thì tìm chỗ khác nhé, không biết có được đổi trả gì không nma chắc cũng chả khá hơn mấy",1
"thất vọng quá, mình đặt 2 cái size 28 shop ship cho 2 cái size 29, lại có rất nhiều chỉ thừa",1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm tuyệt vời cho.,1
sản phẩm đẹp ổn nhưng shop đóng gói hơi ẩu quần bị nhăn khá nhiều.hơi tệ,1
"nói thật quần này mua phí tiền, quần kiểu như siđa đồ chợ loại 2cái 100k rồi còn kiểu mặc lại rồi nữa , shop không chung thực trong việc lấy hàng nữa",1
"đặt size nhỏ nhất mà bố mặc còn rộng thênh thang ảo quá , tiếc 170k",1
"cùng 1 mẫu quần chỉ khác màu nhưng cái rộng cái không vừa, shop cho đổi hàng nhưng cứ hứa hẹn , đơn thì delay mãi không thấy gửi. nhân viên có thái độ không tôn trọng khách hàng. shop này chẳng khác nào lừa đảo!",1
quần giao về như kiểu đã qua sử dụng mình nhờ người nhà lấy hộ về tới nhà nhìn hàng rất không thể chấp nhận được sẽ không bao giờ mua lần hai các bạn lên cân nhắc khi mua,1
"chán từ shop đến đv vận chuyển, 1 sao không hơn, đơn mua ảo lòi",1
màu quần ở ngoài không giống hình cho lắm hơi thất vọng xíu nhưng from quần ổn đẹp.,1
lần đầu giao hàng rất nhanh nhưng mua lần 2 giao đợi 10 ngày xong không giao mà tự hủy đơn hàng luôn,1
vải rất kém chất lượng không giống trong hình giao hàng nhầm size xong đến lúc giao lại thì lại là một loại quần khác quá là thất vọng.,1
"nhân viên quá láo, thiện chí đổi hàng mua thêm quần nhưng thái độ kém. tắt điện thoại của khách. chăm sóc khách hàng không chuyên nghiệp",1
shop làm ăn không uy tín. mình đổi từ size 27 lấy size 26 . nhưng shop lại giao đến cho mình size 27,1
quần không đáng mua nha vải mỏng và hơi ỉ giống như bị thấm nước dị đấy,1
đặt hàng thanh toán cả quần + áo mà shop ship mỗi quần. cảm thấy không hài lòng với shop,1
"mua 2 quần 1 áo, nhận hàng thanh toán đủ nhưng, lúc mở hàng thì không thấy áo đâu chỉ có 2 quần. nhắn tin cho shop thì bảo để check hỏi lại 2 ngày rồi không thấy nói gì ?",1
shop giao nhầm hàng cho mình nhưng vẫn bắt mình trả ship,1
"quần không đẹp, mua quần nam đi giao quần nữ vùng eo mặc chật ai mà có ta định mua nên bỏ",1
"shop tư vấn sai size cho khách hàng , trả hàng thì không hoàn tiền lại . rất không hài lòng cho 1 sao",1
quần chất lượng kém không giống hình,1
không giống hình,1
"shop làm ăn như q, đặt màu đen giao màu xanh.",1
ổn,1
shipper ăn của tao 50k mà tao đòi không trả,1
đặt size 27 nhưng lại về size 31,1
sao hàng sai ý mình lựa chon,1
"sản phẩm không đẹp như hình, màu đậm hơn xấu hơn",1
quần xấu,1
mua 3 cái khác nhau nhưng lại giao giống nhau hết,1
quần quá ngắn,1
quần quá rộng ống thùng thình,1
size không chuẩn,1
khuyên mọi người không nên mua,1
shop giao không đúng size,1
quần như cái bao bố,1
bảo ống rộng mà hàng về ống bé,1
trên hình màu khác giao hàng không giống,1
hàng tệ,1
chất vải nhìn quá thô,1
quần bục chỉ và chỉ thừa nhiều,1
chất lượng quá kém,1
vải kém chất lượng không ăn thua,1
cúc quần như hàng mã,1
tệ,1
dáng hơi giống nữ,1
"shop bán áo kích thước không đúng với size. mua về bé thì mặc sao được. không biết quan tâm tới khách hàng, chỉ biết bán được hàng cho xong.",1
"quần áo hơi mỏng, thủng 2-3 lỗ nhỏ treo áo lên mới để ý thấy.",1
mình đặt xl mà nhận hàng là size l nhỏ hơn tới 2 size thì chẳng hiểu là mặc kiểu gì. đã v còn giao sai mẫu. trời ơi làm ăn kiểu gì v trời,1
quần mới mặc bung chỉ tùm lum rách túi quần. tóm lại áo thì ok còn quần thì hết muốn nói,1
"shop giao 2 bộ 2xl, 1 bộ lớn và bộ nhỏ. size không chuẩn nhỏ như size m vậy, mua về mặc không vừa",1
mình đặt một kiểu shop gửi một kiểu .không có lần 2 nhé . cho một sao *,1
hình ảnh khác với sản phẩm mình nhận được. rao bán 1 ảnh nhưng hàng giao cho khách lại lại khác nhau,1
bán hàng không đúng mô tả. không bán đúng đồ thun lạnh nhưng vẫn cãi là bán thun lạnh,1
shop giao áo size xl nhưng quần thì cắt size đi.quần nhỏ mặc không vừa.áo đẹp.,1
size l mà nhỏ như size s. quần thì đường may bị bung chỉ,1
để size xl 68-78kg nhưng 62 kg mặc không vừa không nên mua!,1
"đặt mua size xl, giao size m, chất lượng áo không như quảng cáo",1
"vải quá xấu, đường may không chắc chắn",1
đồ không đúng số,1
"vải không như mong đợi, chất mãi mỏng, nóng",1
"đồ gì mỏng quá mỏng , áo size l mà nhỏ như size s",1
áo giao qua vừa dơ giặt không ra. rất tệ,1
đồ size l nhưng bé quá( tầm cỡ size s),1
"xấu, gửi áo rách cho khách hàng",1
"tiền nào của nấy thôi, ham rẻ thì đồ tệ, mỏng",1
mặc nóng,1
chất lượng kém,1
không như hình ảnh. mặc không thấy thoải mái,1
sao chả có size ở áo gì hết vậy? áo quá bé.,1
chưa nhận được hàng,1
chưa gì quần đứt chỉ hết rồi . áo thì ok,1
"ra màu tan nát cai áo luôn, sợ quá sợ. giao hang nhanh, hàng nào của nấy",1
"shop gửi áo bị bẩn cho mình, nhưng khi nhắn tin đổi hàng lại cho mình thì không hỗ trợ, không rep tin nhắn để giải quyết. thái độ shop quá tệ",1
hàng chính hãng mà chất lượng quá kém. chất vải rất nóng. mua về giặt 1 lần. mà phần vải màu xanh than phai ra màu trắng như hình. quần thì vừa mà áo thì quá rộng. định đánh giá 0 sao nhưng ấn nhầm thành 1 sao. khuyên những ai đọc được bình luận này thì đừng có dại mà mua. mất tiền mà rước bực bội,1
"shopee mall mà lam ăn nhu c, dm.quần rách cũng giao cho người ta,trong khi người ta nhắn tin không thèm trả lời.mọi người đừng mua nhé, shop kém chất lượng, lừa đảo",1
hình ảnh không liên quan. nhưng cho shop 1 sao vì lần đầu mua hàng về gặt áo bị phai màu. buồn,1
"áo bị lem màu, phần trắng bị lem bởi màu phần đen, bẩn kinh khủng, chưa mặc lần nào giờ vứt luôn, giặt không ra nổi",1
"chất lượng sản phẩm tốt, nhưng ở đây mình muốn phản ánh người giao hàng tới cho mình có thái độ nói chuyện cọc với người nhận hàng và rất mất lịch sự, cần phải xem lại thái độ không hợp tác với cách nói chuyện của người giao hàng ạ",1
shop phục vụ quá tệ mình đặt đồ về bạn mình mặc rộng lúc mua thì ib shop nói hỗ trợ đổi size bây giờ bạn mình mặc không vừa mình nhắn tin nhờ shop hỗ trợ đổi size shop không trả lời shop làm việc quá tệ mọi người có đặt đồ nhớ lưu ý nha,1
quá thất vọng. vải thô sơ cứng. quá rộng so với size. chán nản. nói chung bà con không nên mua shop này,1
chất lượng không thể tệ hơn. không cho trả lại hàng nên mua về vứt xó. áo vừa nặng vừa nóng bí,1
giao sai màu. không hoàn tiền,1
"áo size m dài và rộng quá. áo size m ,quần size xl không biết mặc sao",1
size m mà to thấy tổ bố luôn . áo thì nặng chất vải mặc nóng,1
lỗi tay áo không cho đổi trả shope,1
giao thiếu hàng mua 3 bộ giao 2 bộ,1
áo đẹp nhưng giao hàng quá lâu,1
giao hàng quá lâu,1
thời gian giao hàng cực kì chậm,1
phù hợp tầm giá nhưng để ảnh sản phẩm khác với hàng nhận được quá!,1
"chưa khi nào mua hàng shope thất vọng như vậy luôn. đóng hàng siêu cẩu thả, from giày về nhà bị toè ra luôn. đúng là quá thất vọng. không bao giờ quay lại",1
"túi đựng hàng bẩn, khi nhận bị thủng túi lộ giày ra và có vết va quệt làm xước đế giày",1
"hàng đúng kiểu tiền nào của đó, nhưng mà shop cho cái hình quảng cáo khác nhau một trời một vực đóng gói cực kì tệ có mỗi cái túi nilon mùi nhựa cực kì khó chịu ,giày mỏng và rất ọp ẹp , tốt nhất không nên mua , mua 1 lần không có lần hai ,mất uy tín quá",1
"giao hàng hơi lâu giày đi được 1 lần là hỏng, đế quá kém nói chung là tuy rẻ nhưng gần như không dùng được",1
vận chuyển nhanh. đóng gói sơ sài. giày mình đặt 42 lại giao 43. và xoá mờ số 3 đi. nhắn tin shop không thấy trả lời,1
"mua giày này mà lại giao đôi khác sản phẩm giá rẻ chất lượng cũng tạm, nhựa thừa nhiều",1
sản phẩm rất xấu. anh em nào không có tiền thì mua chứ không thì đừng mua làm gì cho phí tiền. t mua về giờ vứt xó luôn này.,1
"đặt thêm chai vệ sinh giày thì mở đơn kg có giao thiếu hàng, nhắn tin shop ý kiến không trả lời phục vụ kém.",1
giày xấu lắm mọi người đừng mua nha,1
giao hàng không giống mẫu đã đặt. xấu,1
43 mà bé vậy . đi không vừa,1
hà nội mà hơn 1 tuần mới nhận được hàng. nhận về thì được sản phẩm lỗi kiểu bán hàng chỉ cần bán 1 lần,1
"giao hàng nhanh, đúng màu sắc. shop bán chỉ đôi lót bung ra hết, thất vọng về shop. shop làm ăn có tâm tý đi.",1
mua giày mà shop ship dép liên hệ thì lại bảo lên shope trả ? làm ăn không rõ ràng,1
shop gửi cho 2 chiếc giày phải và thậm chí còn không cùng size ? bao giờ shop giải quyết thì mình đánh giá lại,1
"giao không đúng hàng, không như hình ảnh chia sẻ. không nên mua anh em nha",1
xấu vê lờ. giao hàng chậm. vận chuyển cũng chậm. tưởng sales hoá ra không bằng hàng không sales,1
"cao su bị co , mùi nặng quá , sản phẩm kém ,chán thiệt .",1
quá tệ. đế cao su sùi hết lên xung quanh luôn .thấy vô cùng thất vọng chắc chắn không có lần thứ hai,1
sản phẩm xấu kinh khủng khui hàng muốn quăng luôn vậy đó,1
trên ảnh nhìn giầy vải cứng. thực tế vải quá mềm rất dễ hỏng,1
hàng đéo thể chấp nhận được . đéo giống hình ảnh gốc . hàng thì lỗi . làm ăn như con cặc,1
không giống nhau.gọi thì bảo bên shop thì không cho xem.hủy đơn thì thương thằng shiper,1
giao hàng nhanh giao sai loại hàng có mùi khó chịu,1
"giày đẹp, giá rẻ, tuyệt vời.",1
hình đôi cổ cao giao hàng đôi cổ thấp,1
đặt size 41 mà shop gửi size 42. làm ăn chán.vote 1 sao.,1
vì không có xốp làm cho giầy có vết nhăn và vận chuyển từ hà nội về tới chỗ mình rất chậm,1
giầy mang một lần đã hư chẳng giống như hình gì cả chỉ mua một lần không có lần thứ hai làm như thế mất uy tín quá,1
sản phẩm kém chất lượng quá đóng gói hàng quá tệ hại,1
"phần đến giày bên trong quá cứng, lót thì mỏng. đi rất đau chân, lớp keo dán viền thì đi 1-2 ngày bị bong ở 1 vài chỗ, nói chung là mua giày khác rồi.",1
chất lượng rất chán không giống bài đăng,1
"giao thiếu hàng, hẹn lần này đến lần nọ. bỏ tiền mua hàng như đi xin",1
gói hàng quá tệ,1
bảo đưa 1 đằng giao 1 nẻo. nói chung là thiếu trách nhiệm. shop vớ vẩn,1
"đóng gói quá ẩu! chỉ dùng túi nilong xong quấn băng keo lại. miếng lót giày thì rồi ra ngoài, nhăn nheo không thể lót được. shop làm ăn không có tâm",1
hàng như cẹc không giống như hàng trên quảng cáo,1
mua 3 ngày rách rồi.giày đi chả ra gì.chất lượng tồi tệ,1
"rất tệ, đặt màu xanh giao màu đỏ, đặt size 41 giao 42. tệ nhất mà tôi từng đặt hàng trên mạng",1
hình ảnh khác nhau quá nhiều hình ảnh mang tính chất minh họa tăng sản phẩm,1
hàng không đúng như quảng cáo cũng như yêu cầu,1
shop làm ăn quá chán chọn màu đỏ đen shop chuyển mẹ màu ghi không giống hình ảnh,1
"hình 1 kiểu giao hàng 1 kiểu , treo đầu dê bán thịt chó . shop làm ăn vớ vẩn .",1
"đặt màu xám giao màu đỏ, sản phẩm form xấu, không giống hình quảng cáo.",1
sản phẩm tệ lắm. mọi người không nên mua. mua rác chứ không phải mua giày.,1
khá thất vọng về lỗi của shop.mặc dù chả đáng bao nhiêu đâu nhưng shop gửi cho 1 đôi lệch sao mà đeo 2 cái giày chỉ đeo được 1 chân,1
hàng không giống trên ảnh,1
giao không đúng size hỏi thì shop trả lời như không.,1
hàng bán không giống như quảng cáo khác về mẫu mã,1
không giông hinh,1
sai mẫu và đứt chỉ và trả hàng thì hủy hoàn tiền lại không shop làm ăn cắt cổ hả,1
hhìn trên ảnh là góc đẹp nhưng thực ra là nhìn hơi tù với lại size giày hơi nhỏ so so với bảng size giày.nói chung là giày khác hình.,1
"đặt đen xám 42 giao đen đỏ 43, giày mỏng, đường chỉ may bị lệch",1
đúng là tiền nào của đấy. mua về chỉ biết vứt xó và không dùng được. size 39 mà mang vào như size 42,1
nhanh hỏng cái chưa dây giày buộc 2 lần đứt chất lượng không như ảnh .,1
"hàng chất lượng hơi kém , không được như hình ảnh đăng",1
giao hàng không đúng đơn đặt!,1
không như hình và size không chuẩn giày bị nhỏ hơn size bình thường,1
hàng không giống ảnh,1
như buồi á giày vừa xấu với là cách gói giày không cẩn thận,1
giày nhận không đúng như hình đế cứng đi đau chân,1
không hài lòng,1
sản phẩm mỏng hơn mình mong đợi  thôi lần sau chừa,1
shipper thái độ nên cho 1 sao,1
"sản phẩm quá tệ, đường chỉ may quá sơ sài",1
quá xấu rất tồi tệ,1
mua đeo dc 1 hôm đã rách hết vải rồi,1
sản phẩm không hài lòng,1
giày xấu như gì không dám đi mỏng dính,1
sản phẩm không đúng như mô tả không giống mẫu,1
rẻ rách chứ giày con cạk gì,1
không ra gì,1
"không có hộp , sản phẩm móp méo",1
giao hàng không đúng size,1
như rẻ rách,1
mùi nhựa nặc,1
không hài cách đóng gói của shop,1
sản phẩm kém,1
khác xa trên mạng.,1
đặt màu đỏ giao màu xanh,1
hàng khác với trên hình,1
giao nhầm màu không đúng yêu cầu,1
gàng fake đểu thực sự,1
hàng mất porm không đẹp,1
mua 1 màu gửi 1 màu,1
"đóng gói rất tệ, hàng móp méo",1
đặt 41 chuyển 39,1
giày không giống hình,1
size 40 ra 39 chán,1
hơi thất vọng xíu,1
shop bán hàng như c,1
như cái rẻ rách,1
như lồn,1
sản phẩn kém chất lượng,1
đặt 43 thì giao 39,1
như lồn,1
hình ảnh chỉ mang tính chất nhận xu hướng thời trang nữ kiểu gì trời,1
"quần không được xinh lắm, mọi người muốn mua quần tây thì nên lên tận nơi để mua nhé.",1
"vải rất là ok, sờ mát tay, nhưng mình 44kg mà size s thì quá chật  nhắn tin nhờ shop hổ trợ đổi hàng mà không thấy phản hồi gì hết",1
giao thiếu hàng thấy shop vừa online mà không thèm trả lời chán shop ghê,1
"muốn ăn lại 200 xu thì 1☆ nhá shop. người ta có video, hình ảnh mà không liên quan.",1
không ngờ shop hỗ trợ xử lý đơn hàng quá tệ.mua hàng thanh toán onl ngày 3/8 rồi thấy lâu giao mình vào xem bấn nhầm đã nhận nhưng thực ra mình chưa nhận hàng nhờ shop hỗ trợ giúp mình mà chờ mãi tới hôm nay 25/8 cũng chưa thấy hoàn tiền giúp mình.chán,1
hàng xấu không chất lượng vải xấu không đúng form nói chung là hàng quá xấu,1
"vải mỏng , from xấu nói chung là không nên mua",1
xấu mua sz l rồi vẫn bị bó,1
thiếu quần mình đặt 3 cái mà giao mỗi hai,1
"chất vải khá là thô mà không phù hợp với mình, theo ý kiến của mình và với mức giá sản phẩm không phù hợp.",1
giao lâu hàng đẹp ưng ý,1
gửi lỗi không cho đổi hàng,1
chưa được nhận hàng mã đã ghi là giao hàng thành công shop lừa đảo làm ăn vớ vẩn lừa lọc,1
màu đen đưa màu xanh,1
"kích cớ không đúng với bảng quy đổi,nên theo bảng quy đổi của shop là bị trật. không mua lại được,bye bye",1
giao hàng rất chậm,1
quần mất khuy,1
dịch vụ chán,1
"áo giao khôngđúng hình , nhắn tin shop thì không thấy rep trả lời !",1
mình không hiểu shop làm ăn kiểu gì mình đặt 3 cái mà giao có 2 cái mong shop rep tin nhắn và hoàn lại tiền cho mình,1
