,khach_cmt,rating,shop_phan_hoi,shop,dvvc,sp,Unnamed: 2
63,vải mượt nhưng lại bịp quá. đặt quần có dây rút nhưng khi nhận lại thì thành thế này. anh em mua hàng lưu ý nha,2,"bạn ơi xin lỗi bạn shop có gửi nhầm quần cho bạn, mình có gọi hỗ trợ bạn đổi hàng mà bạn không nghe máy bạn, bạn kiểm tra lại để mình hỗ trợ bạn nhé",0,0,2,
64,shop giao hàng không đúng yêu cầu mà cũng chẳng hoàn tiền,2,,1,0,0,
65,vải quần không được đẹp cũng còn nhiều chỉ thừa giá vậy nên cũng tạm được ,2,"chị xin lỗi vì nhiều chỉ thừa nha, bù lại chất vải rất đẹp em xem ha",0,0,2,
66,sao ảnh là quần dài mà ship về quần đùi?,2,"mình gửi nhầm mà mình gọi đổi hàng bạn không có nghe máy, mình đã gọi rất nhiều cho bạn",0,0,2,
67,"cũng tạm được thôi, chứ cái quần mặc lần đầu tiên mà bị bung chỉ nhiều quá, may ẩu quá shop ơi, chán shop nên chỉ đánh giá ít sao thôi",2,,1,0,2,
68,,2,,0,0,0,
69,,2,,0,0,0,
70,"chất lượng quần tạm được. mình vô cùng khó chịu với cách làm việc của shop. chuẩn bị hàng rất rất chậm, mình nhắn tin cho shop thì cứ vòng vo kêu chuyển rồi trong khi chưa hề chuyển. 6 ngày mới nhận được hàng mà trong nội thành Hà Nội. quần là mình đặt hộ,  muối cả mặt, nếu không của mình thì mình huỷ đơn lâu rồi",2,,1,1,2,
71,"lần đầu tiên mình trải nghiệm cảm giác mua hàng không tốt thế này. chất vải quần rõ ràng là tốt, nhưng sự phục vụ của shop lại không như thế, mình nặng gần 60kg và cao 1m55 chọn size 31 (dựa theo bảng size của shop đưa ra, đã thừa một chút) vậy mà mặc vào rõ chật. nhắn tin nhờ shop đổi size, thì bảo gần tết không hỗ trợ đổi?",2,"Trân trọng cảm ơn ý kiến đóng góp của quý khách hàng, rất mong được phục vụ quý bạn những lần tiếp theo để dịch vụ được tốt hơn.",1,0,2,
72,"quần thuộc dạng tạm chấp nhận , quần thì dễ bám bụi , khóa kéo cứng không mượt . shop gửi hàng siêu lâu , và giao cũng lâu . mọi lần mình đặt từ thành phố Hồ Chí Minh là tầm 2 ngày là có hàng . nhưng đến đến này lại thất vọng mình đã mua quần của shop 2 lần rồi , lần đầu mua cũng ok , lần này thất vọng",2,,1,1,2,
73,"bị dính những vết bẩn như nhựa cây vào quần, quá thất vọng, được cái vận chuyển nhanh nên chỉ cho shop 2 sao, shop không chịu kiểm tra hàng trước khi giao cho khách gì cả",2,anh ơi. shop thiện chí chủ động đổi cho anh vì anh không vừa size mà anh không đồng ý ạ. bảng size chỉ là tương đối không thể chuẩn với tất cả mọi người được ạ. mong anh thông cảm cho shop. có gì thắc mắc shop hỗ trợ anh thêm ạ,1,1,2,
74,sản phẩm quần thì tốt mà shop phục vụ chán,2,,1,0,2,
75,bảng size quần không chuẩn mà thu phí tới 180.000đ,2,,0,0,2,
76,quần bò gì mà như quần cho phụ hồ thế.,2,shop hỗ trợ nhiệt tình và đổi lại size miễn phí cho bạn. do thay đổi đánh giá 1 lần rồi nên không thể thay đổi được nữa. rất mong các bạn cần hỗ trợ hay có vấn đề gì hãy nhắn tin cho shop trước nhé.,0,0,2,
77,"quần thì chất vải ok, màu cũng ok, giao hàng nhanh. nhưng mua size bé nhất thì lại như mua size to  về không mặc nổi, phải bán lại cho  bạn nào người bé nhỏ đừng mua vì nó sẽ to hơn bạn nghĩ đấy  mình đo quần này thì dài: 97cm và ngang : 36cm (phần đánh giá được ghi mới đúng nhận xét của mình)",2,,0,1,2,
78,nhờ shop đổi giùm quần size 29 đổi size bảo đổi qua size 30 mà giờ không đổi làm ăn dối trá,2,,1,0,2,
79,"ảnh không liên quan nhưng quần đẹp lắm ạ, shop tư vấn không chính xác, mình đã định mua size 30 nhưng shop tư vấn 29 nên mặc không vừa",2,,1,0,2,
80,quần kiểu để lâu rồi bị bung vải mua về mà chán mong shop lưu ý,2,,1,0,2,
81,"quần size 31 rộng quá, nhắn tin cho shop đổi sang size 30 nhỏ hơn, tiền ship mình chịu mà shop bảo hết size trong khi nhấn vào mua hàng vẫn còn rất nhiều, giờ rộng quá đi bó vào thì mất mẫu mặc sao giờ",2,,1,0,2,
82,"đồ thì ok, bây giờ quần dài quá phải đi sửa lại",2,,0,0,2,
83,sản phẩm quần khi nhận còn có viết bẩn giặt không sạch như shop nói,2,,0,0,2,
84,"có xíu chỉ thừa do shop may ẩu,đường khâu cạnh quần bên phải khâu hơi lệch và hơi khác so với ảnh",2,,1,0,2,
85,chất vải quần khô.mặc nhăn .mùi hôi nữa giặt mấy lần cũng không hết .thất vọng,2,,0,0,2,
86,shop giao nhầm hàng mua mẫu quần baggy mà gửi mẫu xuông,2,anh ơi có nhất thiết dùng ngôn từ đó không vậy anh nếu không ưng thì anh có thể được hoàn trả mà. Các bạn nếu có vấn đề gì hãy nhắn tin cho shop để shop hỗ trợ từ a đến z nhé đừng vội đánh giá shop khi chưa được nhắn tin để hỗ trợ ạ,1,0,2,
87,giao sai mẫu và quần mẫu xấu ống rộng,2,,0,0,2,
88,"quần thì xấu, mặc vào lòi bao quy đầu",2,,0,0,2,
89,"màu quần không giống như hình, đường may xấu, shop không kiểm tra hàng",2,"anh ơi, shop thật sự buồn vì vấn đề trên ạ.shop đã nhắn tin cho anh và xử lý vấn đề trên đổi lại mẫu cho anh và mong các anh lần sau có vấn đề gì hãy nhắn tin cho shop để giải quyết thay vì lên đánh giá trước rồi mới nhắn tin shop ạ. Cám ơn nhiều ạ",1,0,2,
90,dài hơn so với tưởng tượng và quần không giống hình cho lắm,2,,0,0,2,
91,"quần tạm ổn , chỉ bị sứt mẻ . ai mua né shop này ra ",2,,0,0,2,
92,cám ơn shop đã đóng gói cẩn thận,2,,1,0,0,
93,quần bị làm sao á,2,,0,0,2,
94,,2,,0,0,0,
95,vải quần quá mỏng,2,,0,0,2,
96,"giá thì cao mà hàng thì kém chất lượng, đánh giá thấp cho shop về sản phẩm quần này",2,,0,0,2,
97,đặt quần size 26 giao size 27,2,,0,0,2,
98,quần kém chất lượng không giống như trong hình,2,,0,0,2,
99,màu quần bị phai sau khi giặc lần đầu,2,,0,0,2,
100,,2,,0,0,0,
101,,2,,0,0,0,
102,bung khoá quần,2,,0,0,2,
103,số quần không đẹp như hình và hơi rộng ạ ,2,,0,0,2,
104,quần mẫu quá rộng size 29 mà như size 34-35 vậy ,2,sao anh không nhắn tin cho shop hỗ trợ đổi hoặc hoàn trả cho anh mà đã lên đánh giá shop vậy,0,0,2,
105,quần không được như hình,2,,0,0,2,
106,shop nhiệt tình nhưng sản phẩm quần chưa tốt lắm,2,,1,0,2,
107,vải quần khá mỏng màu không đúng như ảnh,2,,0,0,2,
108,"quần khác mẫu như ảnh, mặc rộng với thô quá ",2,,0,0,2,
109,cao 1m73 chọn size 31 mà quần như cao 1m55,2,,0,0,2,
110,quần bị tuột chỉ với không như ảnh,2,,0,0,2,
111,,2,,0,0,0,
112,"giao hàng size mẫu, quần mặc vào thì không kéo lên nổi, chán shop",2,,0,0,2,
113,quần không giống hình tôi đặt,2,,0,0,2,
114,"hình ảnh không liên quan lắm đơn vị vận chuyển giao hàng có tâm, dịch vụ quá tốt  chất lượng sản phẩm quá thất vọng, quần quá mỏng ",2,"rất xin lỗi quý khách vì lỗi của sản phẩm. bên shop đổi hàng tại nhà miễn phí khi sản phẩm lỗi hoặc sai , anh chị nhắn tin cho bên shop để được hỗ trợ nhé",1,1,2,
115,áo mát nhưng mà mặc rất mỏng nhé. có nhắn tin hỏi shop tư vấn size lấy size bé nhất. nhưng về vẫn không mặc vừa. bạn nam cao 1m7 và nặng tầm khoảng 55-57kg mặc vẫn bị khít. lấy size XL chắc hợp lý hơn. chắc sẽ không mua lại ,2,,0,0,1,
116,"vải áo mỏng, đường may xấu, nhiều chỉ thừa, thiếu vải ở các đường biên tay áo, chỉ dư cũng nhiều nữa,với giá tiền không đáng mua,mua size XL áo thì vừa mà quần thì rộng như cái bao. chán thiệt chứ.",2,,1,0,1,
117,"hàng lỗi chất không đẹp, shop không kiểm tra hàng trước khi giao cho khách hàng gì cả, nói chung giá đó tạm ổn mua mặc vài ngày đứt chỉ , chất mỏng , áo tạm ổn hơn quần",2,,1,0,1,
118,"hợp với giá tiền, chỉ quần dễ bung",2,,0,0,2,
119,đặt bộ size XL gửi quần size M,2,,0,0,2,
120,"chất vải cũng tạm, nhưng chỉ quần cứ lòi ra",2,cũng không hiểu bạn đã xem ảnh sản phẩm trước khi mua chưa. quần chả màu đen thì màu gì ạ,0,0,2,
121,"đặt đồ size quần XL 2 bộ thì shop gửi cái này cái kia, , thất vọng, chất liệu vải thì 1 bộ được 1 bộ tệ",2,,0,0,2,
122,"quần mỏng, đường may bị lệch rách, shop may ẩu quá",2,,1,0,2,
123,size quần to nhất rồi nhưng mình cao 1m8 mặc vừa ngắn vừa nhỏ,2,,0,0,2,
124,"giao hàng không đúng size, quần cái to cái nhỏ",2,,0,1,2,
125,"áo xanh than, quần thì đen, giao sai màu khi mình đặt quần",2,,0,0,2,
126,quần size XL mà giao như size M,2,,0,0,2,
127,"vải quần xấu, không cùng vải với áo",2,,0,0,2,
128,vải quần kém,2,,0,0,2,
129,"áo gửi về bị ố, mốc",2,,0,0,1,
130,"quần chật so với size thông thường, không mặc được",2,,0,0,2,
131,,2,,0,0,0,
132,"đã nhận được hàng,nhưng chất lượng không như mong đợi,ống tay áo may bị lỗi và sản phẩm không có tem mác",2,,1,0,1,
133,"gói hàng cẩn thận , giá rẻ , giao nhanh , chất vải mượt mịn thoáng mát , màu đẹp , điểm trừ lớn nhất là ra màu, mình giặc bột giặc của SELECT mà còn ra màu thì ai sử dụng OMO hay ABA chắc đen luôn cái áo , mua 1 bộ nhưng chỉ mặc được cái quần",2,,1,1,1,
134,áo màu đen bị ra màu. lan sang màu trắng xong toang cái áo. video không liên quan,2,,0,0,1,
135,không để ý đằng sau nên tưởng chỉ có tay áo phối trắng thôi còn đâu là áo màu nhưng không phải toàn bộ đằng sau là trắng . mình mua về giặt luôn phần trắng bụi bẩn . có vết còn như gỉ sắt giặt không sạch. vải chất lượng bình thường . giặt còn bị phai màu ,2,,0,0,1,
136,mới giặt lần đầu tiên đã bị lem màu xanh qua lưng áo trắng rồi. màu xanh khi giặt bị ra màu nhiều quá buồn ghê.,2,,0,0,1,
137,"mua lần đầu thì hàng áo ok nên đặt lần 2, nhưng xem hàng thì quá là thất vọng, nếu đã buôn bán thì shop nên uy tín ",2,,0,0,1,
138,"giới thiệu sản phẩm sai sự thật áo mặc trước xanh mặc sau trắng tại sao lúc quảng cáo không ghi rõ ra , giao áo cũ shop tệ quá",2,,1,0,1,
139,hàng ra màu nhiều. giặt lần đầu dính màu lên hết mặt sau của áo ( màu trắng ). cân nhắc khi mua,2,,0,0,1,
140,hàng áo ship quá lâu. nội thành Hà Nội mà đặt hàng từ 10/9 đến 28/9 mới nhận được hàng. sợ thật,2,,0,1,1,
141,"giao quần gì xúc chỉ, xù lông tùm lum",2,,0,0,2,
142,"gửi cái áo từ Hà Nội về Nội Bài mà lâu lắc lâu lơ,đó là nhắn tin kêu hoài mới chịu ship không kêu chắc để tới mùa hè năm sau mới ship quá.",2,,0,1,1,
143,đặt quần xanh than lại giao đen,2,,0,0,2,
144,vải quần hơi dày. nóng,2,,0,0,2,
145,quần shop đường khâu rất kém,2,,1,0,2,
146,nhìn hình đẹp mà nhận về vải quần bị trầy xước. mặc nóng. ,2,,0,0,2,
147,chất quần áo cứng thô không như hình mẫu,2,,0,0,2,
148,đặt 2 mẫu quần khác nhau mà giao 1 mẫu ,2,,0,0,2,
149,đế giày xấu không giống như quảng cáo. thất vọng về sản phẩm. đôi vàng như bị ghẻ lở,2,,0,0,3,
150,tiền nào của đấy. giày mỏng và có mùi cao su. nói chung không nên mua,2,,0,0,3,
151,"giày giá rẻ nên chất lượng không tốt lắm. nhận được bọc hàng cũng hơi bất ngờ vì bọc mỗi nilon ngoài giày. vải mỏng, không đứng được mẫu và vì mỏng quá nên đi đau chân. giá cả như thế nào thì chất lượng vậy",2,,1,0,3,
152,giày nhìn không được như hình lắm toàn mùi cao su thôi sản phẩm tệ ,2,,0,0,3,
153,đóng gói giày quá tệ làm việc kiểu này liệu có thể có lần 2 không shop?,2,,1,0,3,
154,"đóng gói ok, giao hàng khá nhanh. giày thì rẻ thật nhưng mà mang được tầm tuần là bung hết chỉ ra không dùng được nữa…",2,,1,1,3,
155,"giày nhìn thực tế không được như hình, thiết kế lệch, mở ra thì mất mẫu giày nói chung là hàng nào giá đấy thôi",2,,1,0,3,
156,"giày khác xa so với hình, một trời 1 địa ngục chứ không phải vực",2,,0,0,3,
157,"đóng gói kiểu cho có, mở ra giày nhăn nheo hết, logo thì bị tróc ",2,,1,0,3,
158,chất lượng quá kém. tự quẹt sơn vào giày ngoe ngoét. kém xa so với quảng cáo. ,2,,0,0,3,
159,"hàng rẻ thì rẻ,nhưng đóng gói cũng phải chu đáo chút.nhận đôi giày xong nhìn không muốn đi luôn.đóng gói quá ẩu,mất hết mẫu giày.",2,,1,0,3,
160,giày như cứt về đến nhà đứt hết dây,2,,0,0,3,
161,chưa gì đứt hết quai giày rồi,2,,0,0,3,
162,giày chỉ để trưng bày thôi. đi là hỏng ngay,2,,0,0,3,
163,"chất lượng sản phẩm giày kém, đeo được 3 bữa hỏng. được cái bên giao hàng giao rất kịp thời",2,,0,1,3,
164, mong shop lần sau có thể kiểm tra giày trước khi gửi khách. giày mình vừa mở ra xem đã bung keo ở gót. vì không quay nên không có bằng chứng gửi shop. ,2,,1,0,3,
165,"đi giày như đi xục, lỏng lẻo, bung đế khi nhận hàng, tiền nào của nấy, mua cho biết không có lần 2 đâu nha",2,,0,0,3,
166,"giá rẻ thì cũng không mong đợi lắm nhưng mà đóng gói sơ sài quá, đóng vào túi nilon xong ốp 2 cái vào như 1 đôi dép lê, nhận gói hàng nhìn cũng hơi thất vọng vì đóng gói",2,,1,0,3,
167,giày xấu không như mô tả không nên mua,2,,0,0,3,
168,ảnh giày thật nha mọi người khác xa hình mẫu nhé,2,,0,0,3,
169,đặt giày đen xám giao đen đỏ ,2,,0,0,3,
170,giày khá mỏng dể bị bẩn dễ hư hỏng tui cho 2 sao là ngon rồi nhá,2,,0,0,3,
171,dép không giống hình . Đặt một kiểu giao một kiểu khác . làm ăn như lồn què,2,,0,0,3,
172,khuy giày thì bị đứt shop gói hàng nhanh giày chất lượng quá tệ,2,,1,0,3,
173,giày không giống như trên hình ảnh gốc,2,,0,0,3,
174,giày không giống như hình.,2,,0,0,3,
175,giày mà như đôi dép,2,,0,0,3,
176,đặt size 43 nhưng mà sao giày bé chắc bằng size 41,2,,0,0,3,
177,hàng giày giảm giá nên chẳng biết đánh giá như nào cho hợp lý ,2,,0,0,3,
178,giày tạm được,2,,0,0,3,
179,giày không giống như trong hình,2,,0,0,3,
180,đặt giày viền đỏ lại viền xám,2,,0,0,3,
181,giày không chất lượng như trên shop,2,,0,0,3,
182,giày có chỉ thừa không được đẹp như hình,2,,0,0,3,
183,đế giày nhanh hỏng,2,,0,0,3,
184,giày không như hình đi đau chân,2,,0,0,3,
185,hàng không đúng hình. nói chung là giày kém chất lượng.,2,,0,0,3,
186,"hàng giày không giống mô tả, chán thiệt chứ",2,,0,0,3,
187,giày kém chất lượng,2,,0,0,3,
188,"tạm được, giày dễ bị bám bẩn, dễ hư",2,,0,0,3,
189,sản phẩm không ok giày dễ bị bám bụi,2,,0,0,3,
190,giày này mỏng manh quá shop ơi.,2,,0,0,3,
191,đế giày mỏng hơn cả dép ,2,,0,0,3,
192,chất liệu giày không đẹp,2,,0,0,3,
193,giày cũng được tiền nào của nấy bạn ạ,2,,0,0,3,
194,mình đặt giày mẫu đen xám lại giao mẫu đỏ đen. Chịu luôn chứ sao giờ,2,,0,0,3,
195,giày không giống hình cho lắm,2,,0,0,3,
196,"giày tạm được, không nên mua",2,,0,0,3,
197,tiền nào của lấy. giày không ngon,2,,0,0,3,
198,"so với giá tiền thế là hợp lý rồi, giày cũng được, không đẹp lắm",2,,0,0,3,
199,shop giao không đúng với màu giày đã đặt,2,,0,1,3,
200,giày không tốt,2,"chào bạn, shop rất lấy làm tiếc khi sản phẩm chưa làm bạn ưng ý. shop có nhắn tin đổi hàng cho bạn rồi ạ. shop sẽ cố gắng hoàn hiện sản phẩm để đạt chất lượng tốt nhất ạ. Shop XM Ngọc Duy cam kết và miễn phí đổi trả hàng lỗi, nhầm mẫu và size do shop. hỗ trợ đổi hàng, size, màu khi khách đặt nhầm. thu hồi hàng và hoàn tiền khi khách nhận hàng không thích, mỗi người một dáng nên để chuẩn size quần nhất các bạn hãy lựa chọn theo số đo vòng eo và vòng mông",0,0,3,
201,sản phẩm may xấu quá giày bong ra hết rồi ,2,,1,0,3,
202,màu xuông đế giày bằng,2,,0,0,3,
203,ảnh thì đẹp mang vào xấu kinh  ống quần dưới thì quá chật mang vào phèn kinh ,2,"cảm ơn bạn đã quan tâm mua sản phẩm và đánh giá cho shop! bạn thông cảm là bên vận chuyển do shopee điều phối ạ! chúc bạn luôn xinh đẹp và thành công trong cuộc sống! lưu ý: để chọn size quần chuẩn các bạn hãy lựa chọn theo số đo vòng eo và vòng mông nhé! Shop XM Ngọc Duy cam kết và miễn phí đổi trả hàng lỗi, nhầm mẫu và size do shop. hỗ trợ đổi hàng, size, màu khi khách đặt nhầm. thu hồi hàng và sẽ sẵn sàng hoàn lại tiền đầy đủ khi khách nhận hàng không thích",0,0,2,
204,vải quần ok một vài lỗi trên quần không ưng ý như hình còn size S mà mông rộng chân chật mẫu không ra gì nói chung vải ok còn shipper thân thiện chịu chạy lại ship,2,,0,1,2,
205,vừa về chưa kịp mặc thì bung cúc còn quần còn lại thì bị chật mông với đùi muốn trầm cảm,2,,0,0,2,
206,"quần không giống hình chút nào cả, chỗ bắp chân may nhỏ quá, bỏ chân vào không được luôn, thất vọng  (hình ảnh và video chỉ mang tính chất nhận xu)",2,,0,0,2,
207,"đặt hàng 1 kiểu,shop giao 1 kiểu.đặt quần size XL shop giao hàng size XS. quá thất vọng luôn.",2,,1,0,2,
208,shop giao sai hàng quần không được như mong muốn như cứt ạ ,2,,0,1,2,
209,quần so với giá hợp lý nhưng thiếu cúc. bên vận chuyển quá lâu. 1 tháng mới nhận được quần.mong shop đổi đơn vị vận chuyển sẽ ủng hộ shop tiếp,2,cảm ơn khách hàng đã yêu thương và đã tin tưởng và lựa chọn mua hàng tại shop. hãy ghé shop thường xuyên để trải nghiệm những sản phẩm và dịch vụ tuyệt vời nhất nhé. chúng tôi luôn hy vọng được tiếp tục đồng hành cùng khách hàng trong tương lai.,0,1,2,
210,"chất không tốt, vải thun không phải vải quần tây, nút bóp không vô. bạn nào định mua thì suy nghĩ kĩ nhé",2,,0,0,2,
211,quần size XS mà dài và rộng quá . khuy bấm thì bị lỗi bấm không vào,2,dạ. thật sự xin lỗi bạn về sự cố trên. nhân viên kho đã không kiểm tra kỹ trước khi gửi hàng cho bạn. bên mình sẽ lên đơn đổi đúng mẫu cho bạn và chịu toàn bộ phí vận chuyển ạ. cám ơn bạn.,0,0,2,
212,"nói chung shipper cũng thân thiện, shop phục vụ khách tốt mà quần thì không chất lượng lắm",2,,1,1,2,
213,"shipper giao hàng lâu, thái độ với khách hàng nữa chứ",2,,0,1,0,
214,"vải quần kém, kiểu dáng quê mùa.",2,,0,0,2,
215,"giày đẹp, đế giày cao",2,,0,0,2,
